replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.007445706191276394,0.004305894916182204,0.07755240289405299,0.06580080178659439,0.02027741623072815,0.0,0.02027741623072815,0.0,0.0,50.0,,,0.0,50.0,2640.0,2590.0,0.0,0.0,1.0,1.0,True
1,0.0124369486870691,0.0073321481659401055,0.019332054881487898,-0.00043704197152130697,0.11131383141769635,0.0,0.11131383141769635,0.0,0.0,110.0,120.0,10.0,0.0,110.0,120.0,10.0,0.0,0.0,0.0,0.0,False
2,0.008648007006050312,0.011072793967902811,0.02040404693792891,0.0006832459639757871,0.03733081047978859,0.0,0.03733081047978859,0.0,0.0,190.0,220.0,30.0,0.0,190.0,220.0,30.0,0.0,0.0,0.0,0.0,False
3,0.010206390971785606,0.0033627365922821034,0.017478436585610907,0.0039093090215431975,0.02688921344963685,0.0,0.02688921344963685,0.0,0.0,40.0,80.0,40.0,0.0,40.0,80.0,40.0,0.0,0.0,0.0,0.0,False
4,0.006592904472689898,0.0078597340752177,0.1250538091413758,0.11060117059346819,0.012778766536125308,0.0,0.012778766536125308,0.0,0.0,100.0,,,0.0,100.0,2750.0,2650.0,0.0,0.0,1.0,1.0,True
5,0.0024743356795441027,0.0006382018583344015,0.003382303617102199,0.0002697660792236947,0.004517899400030889,0.0,0.004517899400030889,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
6,0.004031701795112488,0.011806298978079888,0.08122312339968199,0.06538512262648961,0.0057254251252907284,0.0,0.0057254251252907284,0.0,0.0,120.0,,,0.0,120.0,2580.0,2460.0,0.0,0.0,1.0,1.0,True
7,0.001994913300239501,0.0003273925148985987,0.002983736969555499,0.0006614311544173995,0.013303193820030701,0.0,0.013303193820030701,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,False
8,0.002973965124678603,0.0018721128424415007,0.08062945064552329,0.0757833726784032,0.024920878219641007,0.0,0.024920878219641007,0.0,0.0,40.0,,,0.0,40.0,3160.0,3120.0,0.0,0.0,1.0,1.0,True
9,0.0067170580778568995,0.0039317280434354035,0.07775813794608571,0.06710935182479341,0.00946181410784297,0.0,0.00946181410784297,0.0,0.0,60.0,,,0.0,60.0,2760.0,2700.0,0.0,0.0,1.0,1.0,True
