metric,mean_interaction,ci_low,ci_high,share_positive,superadditive
loss,0.08098140939104265,0.07168125746649917,0.09064932778995476,0.924,True
Lambda,0.0,0.0,0.0,0.0,False
T_rec,20.77097505668934,18.276643990929706,23.197845804988667,0.8231292517006803,True
lock_in,0.559,0.527,0.59,0.559,True
