metric,n_delta_prop,n_delta_rec,n_delta_int,n_total,n_complete_case,samples_consistent,sum_of_parts,total,residual,additive
loss,1000,1000,1000,1000,1000,True,0.10522450689072027,0.10522450689072026,1.3877787807814457e-17,True
Lambda,1000,1000,1000,1000,1000,True,0.047117413401768206,0.047117413401768206,0.0,True
T_rec,1000,1000,441,441,441,False,148.53097505668936,88.54875283446712,59.982222222222234,False
lock_in,1000,1000,1000,1000,1000,True,0.559,0.559,0.0,True
