buffer,q_slope,n_points,slope_ratio,flattened
0.0,0.12748333333333325,5,1.0,False
2.0,0.12748333333333325,5,1.0,False
4.0,0.12210416666666664,5,0.9578049418224608,False
8.0,0.10517333333333333,5,0.8249967315989023,False
16.0,0.08087375000000001,5,0.6343868479539814,False
32.0,0.0319371875,5,0.25052049287488576,False
64.0,0.0077685937499999465,5,0.060938112825205525,True
128.0,0.0,5,0.0,True
