q_prop,kappa_prop,q_rec,kappa_rec,loss__delta_prop,Lambda__delta_prop,psi_prop,psi_rec,buffer
0.2,0.8,0.0,0.0,0.004714017956790132,0.027933333333333334,0.16000000000000003,0.0,0.0
0.4,0.8,0.0,0.0,0.009055987661522621,0.05027999999999998,0.32000000000000006,0.0,0.0
0.6,0.8,0.0,0.0,0.013875457104423868,0.07673999999999997,0.48,0.0,0.0
0.8,0.8,0.0,0.0,0.018390134248456782,0.10329999999999995,0.6400000000000001,0.0,0.0
1.0,0.8,0.0,0.0,0.023076553789609038,0.12890666666666661,0.8,0.0,0.0
0.2,0.8,0.0,0.0,0.004596136475308621,0.027933333333333334,0.16000000000000003,0.0,2.0
0.4,0.8,0.0,0.0,0.008836035809670762,0.05027999999999998,0.32000000000000006,0.0,2.0
0.6,0.8,0.0,0.0,0.0135392015488683,0.07673999999999997,0.48,0.0,2.0
0.8,0.8,0.0,0.0,0.017932767581790125,0.10329999999999995,0.6400000000000001,0.0,2.0
1.0,0.8,0.0,0.0,0.022508998234053487,0.12890666666666661,0.8,0.0,2.0
0.2,0.8,0.0,0.0,0.004495408697530882,0.026628333333333348,0.16000000000000003,0.0,4.0
0.4,0.8,0.0,0.0,0.008649858031893002,0.04872666666666666,0.32000000000000006,0.0,4.0
0.6,0.8,0.0,0.0,0.013268662659979428,0.07406166666666665,0.48,0.0,4.0
0.8,0.8,0.0,0.0,0.017553274989197516,0.09889166666666664,0.6400000000000001,0.0,4.0
1.0,0.8,0.0,0.0,0.02203685749331276,0.12364999999999998,0.8,0.0,4.0
0.2,0.8,0.0,0.0,0.004298138558641976,0.022633333333333353,0.16000000000000003,0.0,8.0
0.4,0.8,0.0,0.0,0.00829495201337449,0.04126,0.32000000000000006,0.0,8.0
0.6,0.8,0.0,0.0,0.012736095298868315,0.06438,0.48,0.0,8.0
0.8,0.8,0.0,0.0,0.016819415035493827,0.08465999999999999,0.6400000000000001,0.0,8.0
1.0,0.8,0.0,0.0,0.02112243203034977,0.10610666666666665,0.8,0.0,8.0
0.2,0.8,0.0,0.0,0.003936759835648144,0.018421666666666673,0.16000000000000003,0.0,16.0
0.4,0.8,0.0,0.0,0.007633056758744872,0.033382499999999996,0.32000000000000006,0.0,16.0
0.6,0.8,0.0,0.0,0.011746533358281892,0.04771000000000001,0.48,0.0,16.0
0.8,0.8,0.0,0.0,0.015475218256944446,0.06652416666666666,0.6400000000000001,0.0,16.0
1.0,0.8,0.0,0.0,0.019441157396862144,0.08272458333333334,0.8,0.0,16.0
0.2,0.8,0.0,0.0,0.0032002703553240825,0.007598125,0.16000000000000003,0.0,32.0
0.4,0.8,0.0,0.0,0.006263315636638389,0.014444166666666662,0.32000000000000006,0.0,32.0
0.6,0.8,0.0,0.0,0.009701474846547061,0.018384374999999984,0.48,0.0,32.0
0.8,0.8,0.0,0.0,0.01272092617248585,0.026851874999999983,0.6400000000000001,0.0,32.0
1.0,0.8,0.0,0.0,0.01598211204648921,0.033331458333333334,0.8,0.0,32.0
0.2,0.8,0.0,0.0,0.001926759065715015,0.0018740624999999918,0.16000000000000003,0.0,64.0
0.4,0.8,0.0,0.0,0.0038259048907053855,0.0037387499999999834,0.32000000000000006,0.0,64.0
0.6,0.8,0.0,0.0,0.006023308517280731,0.004533854166666655,0.48,0.0,64.0
0.8,0.8,0.0,0.0,0.007797729814782665,0.0065592708333332824,0.6400000000000001,0.0,64.0
1.0,0.8,0.0,0.0,0.009826818320682221,0.008232395833333288,0.8,0.0,64.0
0.2,0.8,0.0,0.0,0.00021103939195923349,0.0,0.16000000000000003,0.0,128.0
0.4,0.8,0.0,0.0,0.000528668626623574,0.0,0.32000000000000006,0.0,128.0
0.6,0.8,0.0,0.0,0.000786525949174562,0.0,0.48,0.0,128.0
0.8,0.8,0.0,0.0,0.0011376122532069952,0.0,0.6400000000000001,0.0,128.0
1.0,0.8,0.0,0.0,0.0013983286231272541,0.0,0.8,0.0,128.0
