q_prop,kappa_prop,q_rec,kappa_rec,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.2,0.2,0.2,0.2,0.0007084124039351843,0.0011020312945192975,0.0018447328547716876,3.4289156317205785e-05,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,2.2,0.03333333333333333,0.0,2.1666666666666665,2.2,0.03333333333333333,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.4,0.2,0.4,0.001904637199845686,0.002527937029809217,0.0046132532459615795,0.00018067901630667663,0.007795833333333324,0.0,0.007795833333333324,0.0,0.0,5.033333333333333,5.4,0.36666666666666664,0.0,5.033333333333333,5.4,0.36666666666666664,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.6,0.2,0.6,0.0031044784560185184,0.00463420108389437,0.008267039770533705,0.0005283602306208168,0.01654104166666666,0.0,0.01654104166666666,0.0,0.0,9.4,10.333333333333334,0.9333333333333333,0.0,9.4,10.333333333333334,0.9333333333333333,0.0,0.0,0.0,0.0,0.12,0.12
0.2,0.8,0.2,0.8,0.004298138558641976,0.006566159254330691,0.01614267158848038,0.005278373775507713,0.022633333333333353,0.0,0.022633333333333353,0.0,0.13333333333333333,13.6,12.4,0.92,0.13333333333333333,13.6,116.3,102.56666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16000000000000003,0.16000000000000003
0.2,1.0,0.2,1.0,0.005496568452932101,0.006558852594275344,0.022883517336261466,0.01082809628905402,0.028619791666666648,0.0,0.028619791666666648,0.0,0.2,16.033333333333335,13.0,0.47368421052631576,0.2,16.033333333333335,240.23333333333332,224.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.2,0.2
0.4,0.2,0.4,0.2,0.001394680575006461,0.001681016878108421,0.0032751705862983224,0.00019947313318344022,0.0,0.0,0.0,0.0,0.0,3.466666666666667,3.8,0.3333333333333333,0.0,3.466666666666667,3.8,0.3333333333333333,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.4,0.4,0.4,0.0036973382944959035,0.0038522015464745834,0.008636022927196263,0.0010864830862257757,0.014142499999999999,0.0,0.014142499999999999,0.0,0.06666666666666667,8.033333333333333,10.2,2.1,0.06666666666666667,8.033333333333333,10.2,2.1,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.4,0.6,0.4,0.6,0.005999665543595682,0.007082679946983805,0.01635634087036777,0.003273995379788286,0.02998374999999998,0.0,0.02998374999999998,0.0,0.06666666666666667,14.733333333333333,20.833333333333332,6.033333333333333,0.06666666666666667,14.733333333333333,20.833333333333332,6.033333333333333,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.8,0.4,0.8,0.00829495201337449,0.009592847836049908,0.0635912825468201,0.0457034826973957,0.04126,0.0,0.04126,0.0,0.26666666666666666,20.866666666666667,15.5,5.75,0.26666666666666666,20.866666666666667,564.8333333333334,543.7,0.0,0.0,0.8666666666666667,0.8666666666666667,0.32000000000000006,0.32000000000000006
0.4,1.0,0.4,1.0,0.010592778992412562,0.00956059785811172,0.1035447295931618,0.08339135274263754,0.05241354166666663,0.0,0.05241354166666663,0.0,0.3,24.1,,,0.3,24.1,654.4,630.0,0.0,0.0,1.0,1.0,0.4,0.4
0.6,0.2,0.6,0.2,0.0021655129745852706,0.0020262529382107336,0.004562930479688984,0.00037116456689297863,0.0,0.0,0.0,0.0,0.0,4.233333333333333,4.933333333333334,0.7,0.0,4.233333333333333,4.933333333333334,0.7,0.0,0.0,0.0,0.0,0.12,0.12
