R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,frac_damaged
0.7968963522047452,0.2031036477952548,0.9075120920197094,0.0924879079802905,360.0,1710.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0.5263157894736842
0.7778209088114737,0.2221790911885263,0.9075120920197094,0.0924879079802905,360.0,1870.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,0.5263157894736842
0.7785697875448618,0.2214302124551381,0.9752555501415342,0.0247444498584657,360.0,1710.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,0.5263157894736842
0.6779039879625058,0.3220960120374941,0.9752555501415342,0.0247444498584657,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,0,0.5263157894736842
0.8058854164067345,0.1941145835932655,0.9025015221955976,0.0974984778044023,360.0,1780.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0.5263157894736842
0.7615425046155523,0.2384574953844477,0.9025015221955976,0.0974984778044023,360.0,2070.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,0.5263157894736842
0.7949996853461724,0.2050003146538276,0.9663911505374592,0.0336088494625407,360.0,1780.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,0.5263157894736842
0.6910245949883284,0.3089754050116716,0.9663911505374592,0.0336088494625407,360.0,1930.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,0.5263157894736842
0.7443411177251121,0.2556588822748878,0.7918364876244207,0.2081635123755792,290.0,2160.0,False,3760.0,0.0,0.9999999999999992,00,operational,2,0.5614035087719298
0.716483073964853,0.283516926035147,0.7918364876244207,0.2081635123755792,290.0,2540.0,False,3760.0,0.0,0.9999999999999992,01,operational,2,0.5614035087719298
0.7258560022531649,0.274143997746835,0.8201934894166587,0.1798065105833412,290.0,2170.0,False,3760.0,0.0,0.9999999999999992,10,operational,2,0.5614035087719298
0.6573992432634832,0.3426007567365168,0.8201934894166587,0.1798065105833412,290.0,,True,3760.0,1.0,0.9061811327489596,11,operational,2,0.5614035087719298
0.8124571934153114,0.1875428065846885,0.8921994737475797,0.1078005262524203,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,00,operational,3,0.4912280701754385
0.760877917120167,0.239122082879833,0.8921994737475797,0.1078005262524203,360.0,1830.0,False,3760.0,0.0,0.9999999999999992,01,operational,3,0.4912280701754385
0.7932275895077847,0.2067724104922153,0.971727804649126,0.028272195350874,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,10,operational,3,0.4912280701754385
0.0991191282024002,0.9008808717975998,0.971727804649126,0.028272195350874,360.0,,True,3760.0,1.0,0.0732831506098829,11,operational,3,0.4912280701754385
0.8488770500654125,0.1511229499345875,0.5857542889517653,0.4142457110482346,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,00,operational,4,0.4210526315789473
0.8347641123228418,0.1652358876771582,0.5857542889517653,0.4142457110482346,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,01,operational,4,0.4210526315789473
0.8383216885506841,0.1616783114493158,0.5926703580566783,0.4073296419433216,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,10,operational,4,0.4210526315789473
0.732735998527582,0.267264001472418,0.5926703580566783,0.4073296419433216,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,4,0.4210526315789473
0.8906640011231122,0.1093359988768878,0.5100116673803772,0.4899883326196229,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,00,operational,5,0.4210526315789473
0.8856890252523356,0.1143109747476643,0.5100116673803772,0.4899883326196229,360.0,1280.0,False,3760.0,0.0,0.9999999999999992,01,operational,5,0.4210526315789473
0.8811583645957255,0.1188416354042745,0.5201479320715234,0.4798520679284766,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,10,operational,5,0.4210526315789473
0.8739373630294962,0.1260626369705038,0.5201479320715234,0.4798520679284766,360.0,1310.0,False,3760.0,0.0,0.9999999999999992,11,operational,5,0.4210526315789473
0.8198990969147495,0.1801009030852505,0.7114389083823531,0.2885610916176468,360.0,1690.0,False,3760.0,0.0,0.9999999999999992,00,operational,6,0.5789473684210527
0.7952874655352898,0.2047125344647101,0.7114389083823531,0.2885610916176468,360.0,1860.0,False,3760.0,0.0,0.9999999999999992,01,operational,6,0.5789473684210527
0.8096439748892688,0.1903560251107312,0.7168679234478819,0.2831320765521182,360.0,1690.0,False,3760.0,0.0,0.9999999999999992,10,operational,6,0.5789473684210527
0.6840533222899523,0.3159466777100477,0.7168679234478819,0.2831320765521182,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,6,0.5789473684210527
0.951800983225824,0.0481990167741759,0.4121834626870967,0.5878165373129033,360.0,720.0,False,3760.0,0.0,0.9999999999999992,00,operational,7,0.3333333333333333
0.9485004549673318,0.0514995450326681,0.4121834626870967,0.5878165373129033,360.0,760.0,False,3760.0,0.0,0.9999999999999992,01,operational,7,0.3333333333333333
0.9460361551919154,0.0539638448080845,0.439738197727287,0.5602618022727129,360.0,720.0,False,3760.0,0.0,0.9999999999999992,10,operational,7,0.3333333333333333
0.868915243742491,0.131084756257509,0.439738197727287,0.5602618022727129,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,7,0.3333333333333333
0.9327840192331008,0.0672159807668992,0.414324320027195,0.585675679972805,360.0,890.0,False,3760.0,0.0,0.9999999999999992,00,operational,8,0.2807017543859649
0.9298527156589228,0.070147284341077,0.414324320027195,0.585675679972805,360.0,930.0,False,3760.0,0.0,0.9999999999999992,01,operational,8,0.2807017543859649
