R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,access_threshold,kappa,T_eval
0.980705619961696,0.0192943800383038,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,19760.0,0.0,0.9999999999999992,00,operational,0,0.4,0.8,20000.0
0.979216478723441,0.020783521276559,0.5186643347402689,0.4813356652597311,360.0,1120.0,False,19760.0,0.0,0.9999999999999992,10,operational,0,0.4,0.8,20000.0
0.9798444409784596,0.0201555590215403,0.4983869185095407,0.5016130814904592,360.0,1170.0,False,19760.0,0.0,0.9999999999999992,01,operational,0,0.4,0.8,20000.0
0.8901400455820534,0.1098599544179466,0.5186643347402689,0.4813356652597311,360.0,,True,19760.0,1.0,0.9061811327489596,11,operational,0,0.4,0.8,20000.0
0.9885158212763586,0.0114841787236413,0.4108185998309868,0.5891814001690132,360.0,810.0,False,19760.0,0.0,0.9999999999999992,00,operational,20,0.4,0.8,20000.0
0.9870327019025412,0.0129672980974588,0.4393907557997515,0.5606092442002485,360.0,820.0,False,19760.0,0.0,0.9999999999999992,10,operational,20,0.4,0.8,20000.0
0.9869209130488644,0.0130790869511354,0.4108185998309868,0.5891814001690132,360.0,940.0,False,19760.0,0.0,0.9999999999999992,01,operational,20,0.4,0.8,20000.0
0.836641744306948,0.1633582556930519,0.4393907557997515,0.5606092442002485,360.0,,True,19760.0,1.0,0.8435994411819693,11,operational,20,0.4,0.8,20000.0
0.9841135128856487,0.0158864871143512,0.6760963111780314,0.3239036888219687,360.0,880.0,False,19760.0,0.0,0.9999999999999992,00,operational,40,0.4,0.8,20000.0
0.9829713707338348,0.0170286292661651,0.7551693870983747,0.2448306129016254,360.0,890.0,False,19760.0,0.0,0.9999999999999992,10,operational,40,0.4,0.8,20000.0
0.981998445195046,0.0180015548049541,0.6760963111780314,0.3239036888219687,360.0,1030.0,False,19760.0,0.0,0.9999999999999992,01,operational,40,0.4,0.8,20000.0
0.8933972900418319,0.1066027099581681,0.7551693870983747,0.2448306129016254,360.0,,True,19760.0,1.0,0.9061811327489596,11,operational,40,0.4,0.8,20000.0
0.9782048637093684,0.0217951362906316,0.4914499321654529,0.508550067834547,360.0,1280.0,False,19760.0,0.0,0.9999999999999992,00,operational,60,0.4,0.8,20000.0
0.9760109094469964,0.0239890905530035,0.5103888147842889,0.4896111852157111,360.0,1280.0,False,19760.0,0.0,0.9999999999999992,10,operational,60,0.4,0.8,20000.0
0.9767471088229378,0.0232528911770621,0.4914499321654529,0.508550067834547,360.0,1380.0,False,19760.0,0.0,0.9999999999999992,01,operational,60,0.4,0.8,20000.0
0.9742540669267816,0.0257459330732184,0.5103888147842889,0.4896111852157111,360.0,1390.0,False,19760.0,0.0,0.9999999999999992,11,operational,60,0.4,0.8,20000.0
0.9610689583829604,0.0389310416170396,0.7288298088817389,0.2711701911182611,250.0,1770.0,False,19760.0,0.0,0.9999999999999992,00,operational,80,0.4,0.8,20000.0
0.9580789055699216,0.0419210944300783,0.7422938514281219,0.2577061485718781,250.0,1770.0,False,19760.0,0.0,0.9999999999999992,10,operational,80,0.4,0.8,20000.0
0.9578950645692113,0.0421049354307888,0.7288298088817389,0.2711701911182611,250.0,1920.0,False,19760.0,0.0,0.9999999999999992,01,operational,80,0.4,0.8,20000.0
0.7687022429634915,0.2312977570365084,0.7422938514281219,0.2577061485718781,250.0,,True,19760.0,1.0,0.7948081436189391,11,operational,80,0.4,0.8,20000.0
0.97513125134248,0.0248687486575199,0.5317255645809629,0.4682744354190372,360.0,1350.0,False,19760.0,0.0,0.9999999999999992,00,operational,100,0.4,0.8,20000.0
0.9714446269537168,0.028555373046283,0.5656662958289463,0.4343337041710536,360.0,1350.0,False,19760.0,0.0,0.9999999999999992,10,operational,100,0.4,0.8,20000.0
0.9735675506114236,0.0264324493885764,0.5317255645809629,0.4682744354190372,360.0,1420.0,False,19760.0,0.0,0.9999999999999992,01,operational,100,0.4,0.8,20000.0
0.7790473399510097,0.2209526600489902,0.5656662958289463,0.4343337041710536,360.0,,True,19760.0,1.0,0.7948081436189391,11,operational,100,0.4,0.8,20000.0
0.9702481440721707,0.0297518559278291,0.7243442082804799,0.2756557917195201,280.0,1440.0,False,19760.0,0.0,0.9999999999999992,00,operational,120,0.4,0.8,20000.0
0.9661193308138571,0.0338806691861427,0.815592442522339,0.184407557477661,280.0,1440.0,False,19760.0,0.0,0.9999999999999992,10,operational,120,0.4,0.8,20000.0
0.9666167545734432,0.0333832454265567,0.7243442082804799,0.2756557917195201,280.0,1640.0,False,19760.0,0.0,0.9999999999999992,01,operational,120,0.4,0.8,20000.0
0.8140395840751283,0.1859604159248716,0.815592442522339,0.184407557477661,280.0,,True,19760.0,1.0,0.8435994411819693,11,operational,120,0.4,0.8,20000.0
0.9746035181008924,0.0253964818991074,0.481792554907143,0.518207445092857,360.0,1420.0,False,19760.0,0.0,0.9999999999999992,00,operational,140,0.4,0.8,20000.0
0.9717606600402404,0.0282393399597596,0.502656004800295,0.4973439951997049,360.0,1430.0,False,19760.0,0.0,0.9999999999999992,10,operational,140,0.4,0.8,20000.0
0.9713575510039114,0.0286424489960885,0.481792554907143,0.518207445092857,360.0,1650.0,False,19760.0,0.0,0.9999999999999992,01,operational,140,0.4,0.8,20000.0
0.9114443083483482,0.0885556916516517,0.502656004800295,0.4973439951997049,360.0,,True,19760.0,1.0,0.936063319106308,11,operational,140,0.4,0.8,20000.0
0.9610669678415388,0.0389330321584612,0.7006717638875042,0.2993282361124958,360.0,1750.0,False,19760.0,0.0,0.9999999999999992,00,operational,160,0.4,0.8,20000.0
0.9571996969055736,0.0428003030944265,0.7574703975595327,0.2425296024404673,360.0,1750.0,False,19760.0,0.0,0.9999999999999992,10,operational,160,0.4,0.8,20000.0
0.955757571391526,0.044242428608474,0.7006717638875042,0.2993282361124958,360.0,1990.0,False,19760.0,0.0,0.9999999999999992,01,operational,160,0.4,0.8,20000.0
0.8081907600803446,0.1918092399196553,0.7574703975595327,0.2425296024404673,360.0,,True,19760.0,1.0,0.8435994411819693,11,operational,160,0.4,0.8,20000.0
0.9788941338537216,0.0211058661462784,0.5850051570326827,0.4149948429673172,360.0,1230.0,False,19760.0,0.0,0.9999999999999992,00,operational,180,0.4,0.8,20000.0
0.9763829392336912,0.0236170607663087,0.6541216695605305,0.3458783304394695,360.0,1240.0,False,19760.0,0.0,0.9999999999999992,10,operational,180,0.4,0.8,20000.0
0.972514055841705,0.0274859441582949,0.5850051570326827,0.4149948429673172,360.0,1540.0,False,19760.0,0.0,0.9999999999999992,01,operational,180,0.4,0.8,20000.0
0.824004677627064,0.175995322372936,0.6541216695605305,0.3458783304394695,360.0,,True,19760.0,1.0,0.8435994411819693,11,operational,180,0.4,0.8,20000.0
0.9802687396131504,0.0197312603868496,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,19760.0,0.0,0.9999999999999992,00,operational,1,0.4,0.8,20000.0
0.9777813498757364,0.0222186501242634,0.8029932044514004,0.1970067955485995,360.0,1100.0,False,19760.0,0.0,0.9999999999999992,10,operational,1,0.4,0.8,20000.0
0.9788023099799622,0.0211976900200377,0.6916793730337041,0.3083206269662958,360.0,1210.0,False,19760.0,0.0,0.9999999999999992,01,operational,1,0.4,0.8,20000.0
0.9764023286368528,0.0235976713631472,0.8029932044514004,0.1970067955485995,360.0,1220.0,False,19760.0,0.0,0.9999999999999992,11,operational,1,0.4,0.8,20000.0
0.974562890507618,0.0254371094923819,0.8997218509745127,0.1002781490254872,360.0,1330.0,False,19760.0,0.0,0.9999999999999992,00,operational,21,0.4,0.8,20000.0
0.971096925782768,0.0289030742172321,0.9871666802652894,0.0128333197347105,360.0,1330.0,False,19760.0,0.0,0.9999999999999992,10,operational,21,0.4,0.8,20000.0
0.9715330498208312,0.0284669501791687,0.8997218509745127,0.1002781490254872,360.0,1520.0,False,19760.0,0.0,0.9999999999999992,01,operational,21,0.4,0.8,20000.0
0.0363559288042397,0.9636440711957605,0.9871666802652894,0.0128333197347105,360.0,,True,19760.0,1.0,0.0277696622622502,11,operational,21,0.4,0.8,20000.0
0.9856954047500868,0.0143045952499131,0.4590439599278735,0.5409560400721265,360.0,960.0,False,19760.0,0.0,0.9999999999999992,00,operational,41,0.4,0.8,20000.0
0.9829608425127668,0.017039157487233,0.5135470310829422,0.4864529689170578,360.0,960.0,False,19760.0,0.0,0.9999999999999992,10,operational,41,0.4,0.8,20000.0
0.9846793187072996,0.0153206812927002,0.4590439599278735,0.5409560400721265,360.0,1040.0,False,19760.0,0.0,0.9999999999999992,01,operational,41,0.4,0.8,20000.0
0.8927451167944664,0.1072548832055335,0.5135470310829422,0.4864529689170578,360.0,,True,19760.0,1.0,0.9061811327489596,11,operational,41,0.4,0.8,20000.0
0.9900653669326444,0.0099346330673555,0.405369341195413,0.594630658804587,360.0,760.0,False,19760.0,0.0,0.9999999999999992,00,operational,61,0.4,0.8,20000.0
0.988113516017868,0.0118864839821318,0.4530615146739064,0.5469384853260936,360.0,760.0,False,19760.0,0.0,0.9999999999999992,10,operational,61,0.4,0.8,20000.0
0.9891456691612872,0.0108543308387129,0.405369341195413,0.594630658804587,360.0,840.0,False,19760.0,0.0,0.9999999999999992,01,operational,61,0.4,0.8,20000.0
0.8976360031546783,0.1023639968453217,0.4530615146739064,0.5469384853260936,360.0,,True,19760.0,1.0,0.9061811327489596,11,operational,61,0.4,0.8,20000.0
0.9719353605300668,0.0280646394699332,0.6529814460976289,0.3470185539023711,360.0,1480.0,False,19760.0,0.0,0.9999999999999992,00,operational,81,0.4,0.8,20000.0
0.9679570515822036,0.0320429484177963,0.7330407405192688,0.2669592594807312,360.0,1480.0,False,19760.0,0.0,0.9999999999999992,10,operational,81,0.4,0.8,20000.0
0.9679631648811312,0.0320368351188686,0.6529814460976289,0.3470185539023711,360.0,1710.0,False,19760.0,0.0,0.9999999999999992,01,operational,81,0.4,0.8,20000.0
0.814224913538273,0.185775086461727,0.7330407405192688,0.2669592594807312,360.0,,True,19760.0,1.0,0.8435994411819694,11,operational,81,0.4,0.8,20000.0
0.9729837169787304,0.0270162830212695,0.549417953193716,0.450582046806284,360.0,1430.0,False,19760.0,0.0,0.9999999999999992,00,operational,101,0.4,0.8,20000.0
0.970561545221075,0.029438454778925,0.568168516665575,0.431831483334425,360.0,1430.0,False,19760.0,0.0,0.9999999999999992,10,operational,101,0.4,0.8,20000.0
0.9710412018767274,0.0289587981232726,0.549417953193716,0.450582046806284,360.0,1530.0,False,19760.0,0.0,0.9999999999999992,01,operational,101,0.4,0.8,20000.0
0.969760813874752,0.0302391861252481,0.568168516665575,0.431831483334425,360.0,1570.0,False,19760.0,0.0,0.9999999999999992,11,operational,101,0.4,0.8,20000.0
0.9799524958295962,0.0200475041704037,0.7300626216492182,0.2699373783507818,360.0,1070.0,False,19760.0,0.0,0.9999999999999992,00,operational,121,0.4,0.8,20000.0
