column,phase,r2_psi,kappa_0,r2_psi_eff,slope_psi_eff,r2_gain,deficit_d,buffer_b,kappa_0_predicted
Lambda__delta_prop,prop,0.8439856798249707,0.0,0.8439856798249707,0.05992647309806441,0.0,0.02855140761872614,-0.01367186455599367,-0.47885080618675496
T_rec__delta_rec,rec,0.9539162533873146,0.06,0.9578791819195711,228.27041550879193,0.003962928532256549,263.5455691327332,12.667696625935008,0.04806643749550195
loss__delta_prop,prop,0.9849260615946112,0.0,0.9849260615946112,0.017888646001933906,0.0,0.014229965018295198,-0.0014714070375053164,-0.10340201368123929
loss__delta_rec,rec,0.9292458655485623,0.0,0.9292458655485623,0.017920636966873172,0.0,0.01690264155564541,-0.0014477940967968627,-0.08565490145611622
