q_prop,kappa_prop,q_rec,kappa_rec,seed_design,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.25,0.25,0.25,0.25,0,0.0013160272717845497,0.0007802046637012313,0.0021732206658829326,7.698873039715139e-05,0.005987404299053585,0.0,0.005987404299053585,0.0,0.0,5.833333333333333,7.5,1.6666666666666667,0.0,5.833333333333333,7.5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0625,0.0625
0.25,0.25,0.25,0.25,1,0.00134302479722369,0.0005851402926120904,0.00197199858079193,4.383349095614964e-05,0.006976809335126256,0.0,0.006976809335126256,0.0,0.0,6.666666666666667,6.666666666666667,0.0,0.0,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625
0.25,0.6,0.25,0.6,0,0.0032273294377321046,0.003258143609079465,0.006843604205921924,0.0003581311591103551,0.014987242013153388,0.0,0.014987242013153388,0.0,0.0,29.166666666666668,31.666666666666668,2.5,0.0,29.166666666666668,31.666666666666668,2.5,0.0,0.0,0.0,0.0,0.15,0.15
0.25,0.6,0.25,0.6,1,0.003156218276402785,0.0022499010596640887,0.0059173090819856404,0.0005111897459187676,0.014772791790995318,0.0,0.014772791790995318,0.0,0.0,25.833333333333332,30.833333333333332,5.0,0.0,25.833333333333332,30.833333333333332,5.0,0.0,0.0,0.0,0.0,0.15,0.15
0.25,1.0,0.25,1.0,0,0.005300901561346237,0.008148743617425009,0.017598177628465307,0.0041485324496940605,0.022384868412465227,0.0,0.022384868412465227,0.0,0.0,37.5,45.833333333333336,8.333333333333334,0.0,37.5,45.833333333333336,8.333333333333334,0.0,0.0,0.0,0.0,0.25,0.25
0.25,1.0,0.25,1.0,1,0.004976220459204975,0.0020456464568574736,0.021556886295773823,0.014535019379711375,0.018815545889788742,0.0,0.018815545889788742,0.0,0.0,42.5,43.0,9.0,0.0,42.5,477.5,435.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25
0.6,0.25,0.6,0.25,0,0.002932481619702649,0.0018125475901307156,0.00516177991779624,0.00041675070796287514,0.0134142828782338,0.0,0.0134142828782338,0.0,0.0,17.5,23.333333333333332,5.833333333333333,0.0,17.5,23.333333333333332,5.833333333333333,0.0,0.0,0.0,0.0,0.15,0.15
0.6,0.25,0.6,0.25,1,0.003090227194894133,0.0013607620864194904,0.004623319071779414,0.00017232979046579092,0.01292493059842155,0.0,0.01292493059842155,0.0,0.0,13.333333333333334,16.666666666666668,3.3333333333333335,0.0,13.333333333333334,16.666666666666668,3.3333333333333335,0.0,0.0,0.0,0.0,0.15,0.15
0.6,0.6,0.6,0.6,0,0.006970071927045483,0.0075736704740963405,0.017921348503058276,0.003377606101916454,0.029270023234912724,0.0,0.029270023234912724,0.0,0.0,79.16666666666667,110.0,30.833333333333332,0.0,79.16666666666667,110.0,30.833333333333332,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.6,0.6,0.6,1,0.007257309878792482,0.005506052356313316,0.014561323905748757,0.0017979616706429605,0.025769129563246947,0.0,0.025769129563246947,0.0,0.0,59.166666666666664,79.16666666666667,20.0,0.0,59.166666666666664,79.16666666666667,20.0,0.0,0.0,0.0,0.0,0.36,0.36
