column,n_iso_psi_groups,n_points_in_groups,collapse_ratio,max_within_group_range,median_within_group_range,total_range
Lambda__delta_prop,3,6,0.9745580934742248,0.0052769223173190286,0.0017104101637466784,0.04474434425816519
T_rec__delta_rec,3,6,0.923284453245889,45.41666666666666,12.083333333333332,213.75
