R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.9031726363577112,0.0968273636422889,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.25,1.0,0.25,1.0,1,0,0.25,0.25,0.0,0.0,0.0,0.2424242424242424,1.0,0.2424242424242424
0.8977799151195572,0.1022200848804427,0.5091457260514864,0.4908542739485135,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.25,1.0,0.25,1.0,1,0,0.25,0.25,0.25,1.0,0.25,0.0,0.0,0.0
0.8969791265075878,0.1030208734924121,0.5091457260514864,0.4908542739485135,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.25,1.0,0.25,1.0,1,0,0.25,0.25,0.25,1.0,0.25,0.2424242424242424,1.0,0.2424242424242424
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,0.25,0.6,0.25,0,0,0.15,0.15,,,,,,
0.902186270603114,0.097813729396886,0.4984763050253206,0.5015236949746794,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,0.25,0.6,0.25,0,0,0.15,0.15,0.0,0.0,0.0,0.6060606060606061,0.25,0.1515151515151515
0.9003196790614485,0.0996803209385515,0.5031399365469036,0.4968600634530964,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,0.25,0.6,0.25,0,0,0.15,0.15,0.5833333333333334,0.25,0.1458333333333333,0.0,0.0,0.0
0.8985664909028427,0.1014335090971573,0.5031399365469036,0.4968600634530964,360.0,1140.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.6,0.25,0.6,0.25,0,0,0.15,0.15,0.5833333333333334,0.25,0.1458333333333333,0.6060606060606061,0.25,0.1515151515151515
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,0.25,0.6,0.25,1,0,0.15,0.15,,,,,,
0.9030469746355098,0.0969530253644902,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,0.25,0.6,0.25,1,0,0.15,0.15,0.0,0.0,0.0,0.6060606060606061,0.25,0.1515151515151515
0.8993978128279061,0.1006021871720939,0.5072775136543086,0.4927224863456913,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,0.25,0.6,0.25,1,0,0.15,0.15,0.5833333333333334,0.25,0.1458333333333333,0.0,0.0,0.0
0.8987549500786041,0.1012450499213959,0.5072775136543086,0.4927224863456913,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.6,0.25,0.6,0.25,1,0,0.15,0.15,0.5833333333333334,0.25,0.1458333333333333,0.6060606060606061,0.25,0.1515151515151515
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,0.6,0.6,0.6,0,0,0.36,0.36,,,,,,
0.8986029450809285,0.1013970549190714,0.4984763050253206,0.5015236949746794,360.0,1180.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,0.6,0.6,0.6,0,0,0.36,0.36,0.0,0.0,0.0,0.6060606060606061,0.5999999999999999,0.3636363636363636
