column,n_iso_psi_groups,mean_layouts_per_composition,ms_within_placement,ms_between_composition,f_ratio,p_value,var_component_composition,collapse_ratio_corrected,total_variance
Lambda__delta_prop,3,2.0,1.73420444271488e-06,1.0285776820776134e-05,5.9311212492766145,0.031573146909016435,4.2757861890306266e-06,0.9766104663839584,0.00018280767197932068
T_rec__delta_rec,3,2.0,75.34722222222219,738.3101851851849,9.798771121351766,0.009952367305751591,331.48148148148135,0.9273729322164274,4564.158950617283
