replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.0227725232171629,0.0006270767384781023,0.023796577200084906,0.00039697724444390237,0.111151260257432,0.0,0.111151260257432,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,False
1,0.011826852314069325,0.07179290498010343,0.08986933084517951,0.0062495735510067485,0.030294646614636433,0.0,0.030294646614636433,0.0,0.0,940.0,940.0,0.0,0.0,940.0,940.0,0.0,0.0,0.0,0.0,0.0,False
2,0.005811801906537392,0.0016226901238464986,0.0079218884648172,0.0004873964344333098,0.027335528970504397,0.0,0.027335528970504397,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
3,0.006548397475135796,0.0003405102479622016,0.007289080425358099,0.0004001727022601015,0.06543230670506839,0.0,0.06543230670506839,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
4,0.011449246732589596,0.021724301788411615,0.0378866167762604,0.00471306825525919,0.033053404886181914,0.0,0.033053404886181914,0.0,0.0,470.0,470.0,0.0,0.0,470.0,470.0,0.0,0.0,0.0,0.0,0.0,False
5,0.0008733541707754006,0.00010899741521590116,0.0010138241479142,3.147256192289824e-05,0.01046553394419851,0.0,0.01046553394419851,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
6,0.007086068541417606,0.013233466702649799,0.021757082341208517,0.001437547097141112,0.016947970994683592,0.0,0.016947970994683592,0.0,0.0,250.0,250.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,False
7,0.0138025803346183,0.0030810409960730922,0.017944303000706,0.0010606816700146071,0.2602299586430675,0.0,0.2602299586430675,0.0,0.0,70.0,70.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,False
8,0.001976401436749098,0.016853361682572898,0.019691756723685297,0.0008619936043633009,0.01871788623615661,0.0,0.01871788623615661,0.0,0.0,350.0,350.0,0.0,0.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,False
9,0.0012107444931864011,0.0005208048278892985,0.0017723876093274984,4.0838288251798804e-05,0.024829680970282375,0.0,0.024829680970282375,0.0,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,False
10,0.003824271554348606,0.0013382576113839043,0.0055663182956079,0.00040378912987538984,0.06476944274042129,0.0,0.06476944274042129,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False
11,0.015346987729094513,0.05665241733572268,0.07683642837971338,0.004837023314896188,0.02226022133444605,0.0,0.02226022133444605,0.0,0.0,740.0,740.0,0.0,0.0,740.0,740.0,0.0,0.0,0.0,0.0,0.0,False
12,0.016037515456374912,0.027652500677413816,0.04882815165769511,0.005138135523906379,0.04295247605608421,0.0,0.04295247605608421,0.0,0.0,440.0,440.0,0.0,0.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,False
13,0.0031830595363721015,0.0001676206976413963,0.0033506802142583975,-1.9755100333362918e-11,0.04969183757230211,0.0,0.04969183757230211,0.0,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,False
14,0.003850487035864797,0.0025405065638797047,0.0069991777227980945,0.0006081841230535928,0.034613652417760266,0.0,0.034613652417760266,0.0,0.0,70.0,70.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,False
15,0.005389625301905794,0.003123729509777802,0.008893795822803204,0.00038044101111960743,0.0425653537034405,0.0,0.0425653537034405,0.0,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,False
16,0.030965631863061893,0.03532172752752166,0.07244188159096387,0.006154522200380319,0.05890169352835117,0.0,0.05890169352835117,0.0,0.0,460.0,460.0,0.0,0.0,460.0,460.0,0.0,0.0,0.0,0.0,0.0,False
17,0.0028519652317377936,0.011706305654342997,0.015142003193325898,0.0005837323072451078,0.0051672366261765745,0.0,0.0051672366261765745,0.0,0.0,190.0,190.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,False
18,0.009910989242179188,0.0037298858183182904,0.0153682396245622,0.0017273645640647206,0.04369386397858177,0.0,0.04369386397858177,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,False
19,0.01584250953328098,0.08829880724587968,0.11135731797712017,0.0072160011979595096,0.030333841017134433,0.0,0.030333841017134433,0.0,0.0,1010.0,1010.0,0.0,0.0,1010.0,1010.0,0.0,0.0,0.0,0.0,0.0,False
20,0.00950483616337211,0.016918935101494115,0.028361127106671713,0.0019373558418054881,0.03267278769866855,0.0,0.03267278769866855,0.0,0.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,False
21,0.003833643816870097,0.019284203507000497,0.024455997133928098,0.001338149810057504,0.014912099311150784,0.0,0.014912099311150784,0.0,0.0,290.0,290.0,0.0,0.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,False
22,0.0085309981399872,0.0037108222029538923,0.013000752714516992,0.0007589323715758989,0.0747979204706064,0.0,0.0747979204706064,0.0,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,False
23,0.0016003334290466964,0.003074020349672392,0.00536592931758139,0.0006915755388623018,0.02859708099342695,0.0,0.02859708099342706,1.1102230246251565e-16,0.0,80.0,80.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,False
24,0.008986312724362011,0.020054226195232117,0.031863736216265204,0.002823197296671076,0.06234216900988021,0.0,0.06234216900988021,0.0,0.0,260.0,270.0,10.0,0.0,260.0,270.0,10.0,0.0,0.0,0.0,0.0,False
25,0.0006796163470630945,0.00020232120158349132,0.0008819375486465997,1.3877787807814457e-17,0.004494254518676577,0.0,0.004494254518676577,0.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,False
26,0.008290042012270897,0.007587721919716996,0.0197437031236012,0.0038659391916133073,0.0948637479473744,0.0,0.0948637479473744,0.0,0.0,220.0,220.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,False
27,0.0037225154918699016,0.007849782448894796,0.011831066330524595,0.00025876838975989747,0.029936349614502866,0.0,0.029936349614502866,0.0,0.0,140.0,140.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,False
28,0.010630403094956303,0.032925903489507496,0.048644558166834384,0.005088251582370584,0.03393278310906711,0.0,0.03393278310906711,0.0,0.0,500.0,500.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,False
29,0.0008165472919695049,0.0008379491249543985,0.0016937512742279948,3.9254857304091284e-05,1.2703441657935244e-05,0.0,1.2703441657935244e-05,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
30,0.0234320855899377,0.04815624733781709,0.07684653992413903,0.00525820699638424,0.06934282684097914,0.0,0.06934282684097914,0.0,0.0,540.0,540.0,0.0,0.0,540.0,540.0,0.0,0.0,0.0,0.0,0.0,False
31,0.009179580492696099,0.0230791345478214,0.03419035251052718,0.0019316374700096839,0.042413014925521075,0.0,0.042413014925521075,0.0,0.0,320.0,320.0,0.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,False
32,0.009801154592998407,0.012959245235206224,0.02540437668187831,0.0026439768536736796,0.05002436768384522,0.0,0.05002436768384522,0.0,0.0,200.0,210.0,10.0,0.0,200.0,210.0,10.0,0.0,0.0,0.0,0.0,False
33,0.0082160671527364,0.04291374754599761,0.054021584172111003,0.0028917694733769927,0.03210223946337165,0.0,0.03210223946337165,0.0,0.0,490.0,490.0,0.0,0.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,False
