R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,frac_damaged
0.921338395837758,0.0786616041622418,0.4037925032469533,0.5962074967530466,360.0,2670.0,False,6760.0,0.0,0.9999999999999976,00,operational,0,0.3546099290780142
0.92071131909928,0.0792886809007199,0.4037925032469533,0.5962074967530466,360.0,2690.0,False,6760.0,0.0,0.9999999999999976,01,operational,0,0.3546099290780142
0.8985658726205953,0.1014341273794047,0.5149437635043853,0.4850562364956147,360.0,2670.0,False,6760.0,0.0,0.9999999999999976,10,operational,0,0.3546099290780142
0.8975418186376732,0.1024581813623267,0.5149437635043853,0.4850562364956147,360.0,2690.0,False,6760.0,0.0,0.9999999999999976,11,operational,0,0.3546099290780142
0.8115990571158455,0.1884009428841545,0.6240722080898372,0.3759277919101628,360.0,3620.0,False,6760.0,0.0,0.9999999999999976,00,operational,1,0.4397163120567376
0.7398061521357421,0.2601938478642579,0.6240722080898372,0.3759277919101628,360.0,4560.0,False,6760.0,0.0,0.9999999999999976,01,operational,1,0.4397163120567376
0.7997722048017761,0.2002277951982238,0.6543668547044736,0.3456331452955264,360.0,3620.0,False,6760.0,0.0,0.9999999999999976,10,operational,1,0.4397163120567376
0.721729726270666,0.278270273729334,0.6543668547044736,0.3456331452955264,360.0,4560.0,False,6760.0,0.0,0.9999999999999976,11,operational,1,0.4397163120567376
0.892784987639067,0.107215012360933,0.6230672862217694,0.3769327137782306,360.0,2500.0,False,6760.0,0.0,0.9999999999999976,00,operational,2,0.3900709219858156
0.8911622975152205,0.1088377024847795,0.6230672862217694,0.3769327137782306,360.0,2540.0,False,6760.0,0.0,0.9999999999999976,01,operational,2,0.3900709219858156
0.8869731857325296,0.1130268142674704,0.6504028151922738,0.3495971848077262,360.0,2500.0,False,6760.0,0.0,0.9999999999999976,10,operational,2,0.3900709219858156
0.8848630991742498,0.1151369008257502,0.6504028151922738,0.3495971848077262,360.0,2540.0,False,6760.0,0.0,0.9999999999999976,11,operational,2,0.3900709219858156
0.9608360692194028,0.0391639307805971,0.299776422162981,0.7002235778370189,360.0,1400.0,False,6760.0,0.0,0.9999999999999976,00,operational,3,0.2482269503546099
0.9604955589714408,0.0395044410285593,0.299776422162981,0.7002235778370189,360.0,1420.0,False,6760.0,0.0,0.9999999999999976,01,operational,3,0.2482269503546099
0.9542876717442672,0.0457123282557329,0.3652087288680494,0.6347912711319506,360.0,1400.0,False,6760.0,0.0,0.9999999999999976,10,operational,3,0.2482269503546099
0.9535469887940448,0.0464530112059552,0.3652087288680494,0.6347912711319506,360.0,1430.0,False,6760.0,0.0,0.9999999999999976,11,operational,3,0.2482269503546099
0.8739292517871464,0.1260707482128535,0.6440110161619512,0.3559889838380487,360.0,2720.0,False,6760.0,0.0,0.9999999999999976,00,operational,4,0.3120567375886525
0.8522049499987349,0.1477950500012651,0.6440110161619512,0.3559889838380487,360.0,3190.0,False,6760.0,0.0,0.9999999999999976,01,operational,4,0.3120567375886525
0.8624800050545569,0.1375199949454431,0.6770644210481331,0.3229355789518668,360.0,2720.0,False,6760.0,0.0,0.9999999999999976,10,operational,4,0.3120567375886525
0.836042635010886,0.1639573649891139,0.6770644210481331,0.3229355789518668,360.0,3190.0,False,6760.0,0.0,0.9999999999999976,11,operational,4,0.3120567375886525
0.9917929966404776,0.0082070033595222,0.0722516265095652,0.9277483734904348,360.0,940.0,False,6760.0,0.0,0.9999999999999976,00,operational,5,0.1702127659574468
0.9916839992252618,0.0083160007747381,0.0722516265095652,0.9277483734904348,360.0,950.0,False,6760.0,0.0,0.9999999999999976,01,operational,5,0.1702127659574468
0.9909196424697024,0.0090803575302976,0.0827171604537637,0.9172828395462362,360.0,940.0,False,6760.0,0.0,0.9999999999999976,10,operational,5,0.1702127659574468
0.9907791724925636,0.0092208275074364,0.0827171604537637,0.9172828395462362,360.0,950.0,False,6760.0,0.0,0.9999999999999976,11,operational,5,0.1702127659574468
0.768397078616766,0.231602921383234,0.7085313730133058,0.2914686269866941,360.0,4090.0,False,6760.0,0.0,0.9999999999999976,00,operational,6,0.5531914893617021
0.7551636119141162,0.2448363880858838,0.7085313730133058,0.2914686269866941,360.0,4340.0,False,6760.0,0.0,0.9999999999999976,01,operational,6,0.5531914893617021
0.7613110100753484,0.2386889899246516,0.7254793440079894,0.2745206559920105,360.0,4090.0,False,6760.0,0.0,0.9999999999999976,10,operational,6,0.5531914893617021
0.7466399962755574,0.2533600037244425,0.7254793440079894,0.2745206559920105,360.0,4340.0,False,6760.0,0.0,0.9999999999999976,11,operational,6,0.5531914893617021
0.9047938064605532,0.0952061935394467,0.5440981601916708,0.4559018398083291,220.0,2420.0,False,6760.0,0.0,0.9999999999999976,00,operational,7,0.375886524822695
0.9017127654644802,0.0982872345355198,0.5440981601916708,0.4559018398083291,220.0,2490.0,False,6760.0,0.0,0.9999999999999976,01,operational,7,0.375886524822695
0.890991226125935,0.109008773874065,0.8043281188347383,0.1956718811652617,220.0,2420.0,False,6760.0,0.0,0.9999999999999976,10,operational,7,0.375886524822695
0.8868495034598473,0.1131504965401527,0.8043281188347383,0.1956718811652617,220.0,2490.0,False,6760.0,0.0,0.9999999999999976,11,operational,7,0.375886524822695
0.9342087174983236,0.0657912825016764,0.3628925834334968,0.6371074165665032,360.0,1910.0,False,6760.0,0.0,0.9999999999999976,00,operational,8,0.2553191489361702
0.9173553558157508,0.0826446441842493,0.3628925834334968,0.6371074165665032,360.0,2260.0,False,6760.0,0.0,0.9999999999999976,01,operational,8,0.2553191489361702
0.9322323160615744,0.0677676839384255,0.3816104696696534,0.6183895303303466,360.0,1910.0,False,6760.0,0.0,0.9999999999999976,10,operational,8,0.2553191489361702
0.9145169607746384,0.0854830392253617,0.3816104696696534,0.6183895303303466,360.0,2260.0,False,6760.0,0.0,0.9999999999999976,11,operational,8,0.2553191489361702
0.94755232639721,0.05244767360279,0.5826139836680668,0.4173860163319331,360.0,1340.0,False,6760.0,0.0,0.9999999999999976,00,operational,9,0.2482269503546099
0.9470315215693208,0.0529684784306793,0.5826139836680668,0.4173860163319331,360.0,1370.0,False,6760.0,0.0,0.9999999999999976,01,operational,9,0.2482269503546099
0.9463415819040236,0.0536584180959764,0.6074436646383492,0.3925563353616507,360.0,1340.0,False,6760.0,0.0,0.9999999999999976,10,operational,9,0.2482269503546099
0.9457799387878824,0.0542200612121175,0.6074436646383492,0.3925563353616507,360.0,1370.0,False,6760.0,0.0,0.9999999999999976,11,operational,9,0.2482269503546099
0.9656075177226214,0.0343924822773785,0.285520056877349,0.714479943122651,360.0,1230.0,False,6760.0,0.0,0.9999999999999976,00,operational,10,0.226950354609929
0.9642692601112376,0.0357307398887624,0.285520056877349,0.714479943122651,360.0,1280.0,False,6760.0,0.0,0.9999999999999976,01,operational,10,0.226950354609929
0.9617832461682728,0.0382167538317271,0.3502894996177703,0.6497105003822297,360.0,1230.0,False,6760.0,0.0,0.9999999999999976,10,operational,10,0.226950354609929
0.9600411994270136,0.0399588005729864,0.3502894996177703,0.6497105003822297,360.0,1280.0,False,6760.0,0.0,0.9999999999999976,11,operational,10,0.226950354609929
