column,n_iso_psi_groups,n_points_in_groups,collapse_ratio,max_within_group_range,median_within_group_range,total_range
Lambda__delta_prop,10,21,0.9348557167081976,0.02832406249999997,0.01571880208333332,0.13798333333333324
T_rec__delta_rec,10,21,0.9797207175541301,6.133333333333335,4.075000000000002,58.449999999999996
loss__delta_prop,10,21,0.9912972458229822,0.0018727261749614116,0.0009054496841242356,0.02579756398649687
loss__delta_rec,10,21,0.9645902366051201,0.004807218976939493,0.0019196435931824064,0.023785866296826247
loss__delta_int,10,21,0.8914867255977785,0.11799521939775305,0.016755175565150354,0.3874022291088196
