kappa_floor,column,n_iso_psi_groups,n_points_in_groups,collapse_ratio,max_within_group_range,median_within_group_range,total_range
0.2,Lambda__delta_prop,10,21,0.9348557167081976,0.02832406249999997,0.01571880208333332,0.13798333333333324
0.2,T_rec__delta_rec,10,21,0.9797207175541301,6.133333333333335,4.075000000000002,58.449999999999996
0.4,Lambda__delta_prop,7,14,0.9360874191512187,0.02832406249999997,0.005851666666666665,0.13120020833333323
0.4,T_rec__delta_rec,7,14,0.9810203224144567,5.183333333333333,4.050000000000004,55.68333333333333
0.6,Lambda__delta_prop,3,6,0.9908008108837927,0.004491249999999947,0.0042490625000000115,0.12236197916666658
0.6,T_rec__delta_rec,3,6,0.9752020977311446,4.050000000000004,2.2833333333333314,51.33333333333333
