column,phase,r2_psi,kappa_0,r2_psi_eff,slope_psi_eff,r2_gain,deficit_d,buffer_b,kappa_0_predicted
Lambda__delta_prop,prop,0.9310014465693154,0.19,0.9928178266820699,0.17562805244097546,0.061816380112754477,0.1683654427083331,0.031095927083333162,0.18469304973231362
T_rec__delta_rec,rec,0.9811924793807316,0.08,0.9903093540698089,68.3717310087173,0.009116874689077292,65.14583333333333,5.084166666666684,0.07804285257435269
loss__delta_prop,prop,0.9897464920169987,0.08,0.9992198120296308,0.028655041458667856,0.009473320012632125,0.028681310345691036,0.002341273130172959,0.0816306194505755
loss__delta_rec,rec,0.9625403107613815,0.025,0.9634358554497076,0.027867368618684933,0.0008955446883260887,0.027137650054529904,0.0009958313949409107,0.03669556475744602
