column,n_iso_psi_groups,mean_layouts_per_composition,ms_within_placement,ms_between_composition,f_ratio,p_value,var_component_composition,collapse_ratio_corrected,total_variance
Lambda__delta_prop,10,4.0,6.681055497685183e-06,0.0005733847583359631,85.82248097394587,1.4018591973790225e-33,0.00014167592570956948,0.9049204114138921,0.0014900771849813183
T_rec__delta_rec,10,4.0,3.756402116402116,30.21560606060607,8.043762388662104,1.502388152662214e-08,6.614800986050989,0.9744693358271691,259.09239733333334
loss__delta_prop,10,4.0,8.472423937979563e-08,2.303942927173177e-06,27.19343300144874,7.944992252771363e-20,5.548046719483454e-07,0.9881425708708015,4.678962580363706e-05
loss__delta_rec,10,4.0,8.999775274548919e-07,1.0103920649047634e-05,11.226858827932295,3.669453960555606e-11,2.3009857803981853e-06,0.9518847618080074,4.782239196689916e-05
loss__delta_int,10,4.0,0.00017808288474949438,0.004037059998346592,22.669556392381242,7.215088914255726e-18,0.0009647442783992744,0.8953287505105173,0.009216898461656473
