q_prop,kappa_prop,q_rec,kappa_rec,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.2,0.2,0.2,0.2,0.0006295307781635821,0.0010646707249997779,0.0017209507711990369,2.674926803567697e-05,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,2.1500000000000004,0.06666666666666667,0.0,2.0833333333333335,2.1500000000000004,0.06666666666666667,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.4,0.2,0.4,0.0017112100023148095,0.0024592356431137126,0.004303095954608502,0.00013265030917998058,0.00678312499999999,0.0,0.00678312499999999,0.0,0.03333333333333333,4.85,5.133333333333333,0.25,0.03333333333333333,4.85,5.133333333333333,0.25,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.6,0.2,0.6,0.0027996332181712954,0.004586737012050353,0.007755733815733649,0.0003693635855120003,0.015621354166666658,0.0,0.015621354166666658,0.0,0.03333333333333333,9.2,9.816666666666666,0.5833333333333334,0.03333333333333333,9.2,9.816666666666666,0.5833333333333334,0.0,0.0,0.0,0.0,0.12,0.12
0.2,0.8,0.2,0.8,0.003882845255401235,0.0061173560033831635,0.013964691115872192,0.003964489857087794,0.021596666666666667,0.0,0.021596666666666667,0.0,0.16666666666666666,12.85,12.31780303030303,0.4871212121212122,0.16666666666666666,12.85,85.43333333333334,72.41666666666667,0.0,0.0,0.11666666666666667,0.11666666666666667,0.16000000000000003,0.16000000000000003
0.2,1.0,0.2,1.0,0.004971107639853391,0.005901521595150933,0.018863872366323906,0.007991243131319582,0.027309374999999976,0.0,0.027309374999999976,0.0,0.21666666666666667,14.733333333333334,14.016666666666667,0.20833333333333331,0.21666666666666667,14.733333333333334,175.65,160.7,0.0,0.0,0.25,0.25,0.2,0.2
0.4,0.2,0.4,0.2,0.001425461873304092,0.0015991559479510069,0.003177282965223092,0.00015266514396799306,0.0,0.0,0.0,0.0,0.0,3.283333333333333,3.533333333333333,0.25,0.0,3.283333333333333,3.533333333333333,0.25,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.4,0.4,0.4,0.4,0.003822564386188278,0.003640782611382241,0.008254611153519692,0.0007912641559491728,0.015745000000000002,0.0,0.015745000000000002,0.0,0.06666666666666667,7.666666666666667,9.1,1.3666666666666667,0.06666666666666667,7.666666666666667,9.1,1.3666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.4,0.6,0.4,0.6,0.006226804247106478,0.0066025738935898805,0.015135184960437463,0.0023058068197411036,0.03509270833333332,0.0,0.03509270833333332,0.0,0.1,13.833333333333334,17.766666666666666,3.833333333333333,0.1,13.833333333333334,17.766666666666666,3.833333333333333,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.8,0.4,0.8,0.008621186411265424,0.00958153938571486,0.04805310177551867,0.02985037597853839,0.04882,0.0,0.04882,0.0,0.31666666666666665,20.5,13.303571428571429,2.5892857142857144,0.31666666666666665,20.5,418.2833333333333,397.4666666666667,0.0,0.0,0.65,0.65,0.32000000000000006,0.32000000000000006
0.4,1.0,0.4,1.0,0.011021047684220688,0.009540258761081031,0.07320092731634696,0.052639620871045255,0.06177239583333329,0.0,0.06177239583333329,0.0,0.4166666666666667,24.116666666666667,14.5,0.9333333333333332,0.4166666666666667,24.116666666666667,570.25,545.7166666666667,0.0,0.0,0.8666666666666667,0.8666666666666667,0.4,0.4
0.6,0.2,0.6,0.2,0.0020600346877411285,0.0024932447447570264,0.004908640334510181,0.00035536090201202707,0.0,0.0,0.0,0.0,0.016666666666666666,5.1,5.733333333333333,0.6166666666666667,0.016666666666666666,5.1,5.733333333333333,0.6166666666666667,0.0,0.0,0.0,0.0,0.12,0.12
0.6,0.4,0.6,0.4,0.0055267350640432296,0.005733123951586034,0.01318998607440884,0.0019301270587795774,0.019276458333333336,0.0,0.019276458333333336,0.0,0.15,11.916666666666666,15.566666666666666,3.5,0.15,11.916666666666666,15.566666666666666,3.5,0.0,0.0,0.0,0.0,0.24,0.24
0.6,0.6,0.6,0.6,0.009010374789351848,0.010580214594329593,0.02540808639719267,0.00581749701351123,0.0466403125,0.0,0.0466403125,0.0,0.19999999999999998,22.0,31.816666666666666,9.616666666666667,0.19999999999999998,22.0,31.816666666666666,9.616666666666667,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.8,0.6,0.8,0.012486408785493824,0.014521338544693332,0.10396381020815475,0.07695606287796758,0.06543,0.0,0.06543,0.0,0.31666666666666665,31.25,20.333333333333332,7.166666666666667,0.31666666666666665,31.25,613.1166666666667,581.55,0.0,0.0,0.9333333333333333,0.9333333333333333,0.48,0.48
0.6,1.0,0.6,1.0,0.015970673018904334,0.014447383687490021,0.16480437213345897,0.13438631542706458,0.08268124999999994,0.0,0.08268124999999994,0.0,0.5166666666666666,36.016666666666666,,,0.5166666666666666,36.016666666666666,658.3333333333334,621.8,0.0,0.0,1.0,1.0,0.6,0.6
0.8,0.2,0.8,0.2,0.00267331164417761,0.003279706870429644,0.006568869990355562,0.000615851475748308,0.0,0.0,0.0,0.0,0.03333333333333333,6.833333333333333,7.8999999999999995,1.0333333333333332,0.03333333333333333,6.833333333333333,7.8999999999999995,1.0333333333333332,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.4,0.8,0.4,0.0071918642255658655,0.007527165648581704,0.018083903421571165,0.003364873547423595,0.025854583333333334,0.0,0.025854583333333334,0.0,0.18333333333333332,15.8,21.883333333333333,5.9,0.18333333333333332,15.8,21.883333333333333,5.9,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
