R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,0,0,0.04000000000000001,0.04000000000000001,,,,,,
0.9348825267361112,0.06511747326388884,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,0,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.0,0.0,0.0
0.9345276297453703,0.06547237025462971,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,0,0,0.04000000000000001,0.04000000000000001,0.0,0.0,0.0,0.2,0.2,0.04000000000000001
0.9340032979295809,0.06599670207041908,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,0,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.2,0.2,0.04000000000000001
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,1,0,0.04000000000000001,0.04000000000000001,,,,,,
0.9347106581597222,0.06528934184027779,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,1,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.0,0.0,0.0
0.9345612297453704,0.06543877025462963,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,1,0,0.04000000000000001,0.04000000000000001,0.0,0.0,0.0,0.2,0.2,0.04000000000000001
0.9338645904612055,0.06613540953879449,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,1,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.2,0.2,0.04000000000000001
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,2,0,0.04000000000000001,0.04000000000000001,,,,,,
0.9349456214699073,0.06505437853009266,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,2,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.0,0.0,0.0
0.9351927922222222,0.06480720777777782,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,2,0,0.04000000000000001,0.04000000000000001,0.0,0.0,0.0,0.2,0.2,0.04000000000000001
0.9347434481365741,0.06525655186342594,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,2,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.2,0.2,0.04000000000000001
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,3,0,0.04000000000000001,0.04000000000000001,,,,,,
0.934280975462963,0.06571902453703704,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,3,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.0,0.0,0.0
0.9353032127134877,0.06469678728651229,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,3,0,0.04000000000000001,0.04000000000000001,0.0,0.0,0.0,0.2,0.2,0.04000000000000001
0.9341831339634877,0.06581686603651227,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,3,0,0.04000000000000001,0.04000000000000001,0.2,0.2,0.04000000000000001,0.2,0.2,0.04000000000000001
