R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,kappa_prop,kappa_rec
0.903528099808482,0.0964719001915178,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0,0.4,0.4
0.899636877794042,0.100363122205958,0.5092221696569947,0.4907778303430052,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,10,0.4,0.4
0.9020604968682422,0.0979395031317578,0.4983869185095407,0.5016130814904592,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,1,0.4,0.4
0.8973983289172295,0.1026016710827705,0.5092221696569947,0.4907778303430052,360.0,1150.0,False,3760.0,0.0,0.9999999999999992,11,operational,0,11,0.4,0.4
0.9633289310272168,0.0366710689727831,0.3155067966282663,0.6844932033717337,360.0,600.0,False,3760.0,0.0,0.9999999999999992,00,operational,8,0,0.4,0.4
0.9619098387711784,0.0380901612288214,0.3278022431034412,0.6721977568965588,360.0,600.0,False,3760.0,0.0,0.9999999999999992,10,operational,8,10,0.4,0.4
0.9627039891590096,0.0372960108409903,0.3155067966282663,0.6844932033717337,360.0,610.0,False,3760.0,0.0,0.9999999999999992,01,operational,8,1,0.4,0.4
0.9608736533211076,0.0391263466788924,0.3278022431034412,0.6721977568965588,360.0,620.0,False,3760.0,0.0,0.9999999999999992,11,operational,8,11,0.4,0.4
0.874480777793111,0.125519222206889,0.5492435938229951,0.4507564061770048,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,00,operational,16,0,0.4,0.4
0.8670449370339729,0.1329550629660271,0.5652640647369712,0.4347359352630288,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,10,operational,16,10,0.4,0.4
0.8697939383210883,0.1302060616789117,0.5492435938229951,0.4507564061770048,360.0,1400.0,False,3760.0,0.0,0.9999999999999992,01,operational,16,1,0.4,0.4
0.8604873097457114,0.1395126902542885,0.5652640647369712,0.4347359352630288,360.0,1420.0,False,3760.0,0.0,0.9999999999999992,11,operational,16,11,0.4,0.4
0.945443184188044,0.054556815811956,0.3740278710652681,0.6259721289347319,360.0,830.0,False,3760.0,0.0,0.9999999999999992,00,operational,24,0,0.4,0.4
0.939205407940233,0.060794592059767,0.4184738147473015,0.5815261852526985,360.0,830.0,False,3760.0,0.0,0.9999999999999992,10,operational,24,10,0.4,0.4
0.9453015704345562,0.0546984295654437,0.3740278710652681,0.6259721289347319,360.0,830.0,False,3760.0,0.0,0.9999999999999992,01,operational,24,1,0.4,0.4
0.9388905587167928,0.0611094412832071,0.4184738147473015,0.5815261852526985,360.0,830.0,False,3760.0,0.0,0.9999999999999992,11,operational,24,11,0.4,0.4
0.9068118374479353,0.0931881625520648,0.4680845287760561,0.5319154712239439,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,00,operational,32,0,0.4,0.4
