replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec
0,0.0009350642685782978,0.00019021168427449386,0.0011445277268622017,1.9251774009410028e-05,0.004510445151180598,0.0,0.004510445151180598,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
1,0.00013989215289469947,0.0036046920221528,0.00375158977534662,7.00560029912034e-06,0.00029281953070625644,0.0,0.00029281953070625644,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
2,0.000561154400983005,0.002669001001683005,0.0032520224846129125,2.1867081946902456e-05,0.005402370223733133,0.0,0.005402370223733133,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
3,-9.811962534599095e-06,0.0,-9.811962534599095e-06,0.0,-0.0010137310334799032,0.0,-0.0010137310334799032,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
4,0.0009816304425541156,0.0040701240544493145,0.0050987177005274165,4.696320352398642e-05,0.0061025616796686055,0.0,0.0061025616796686055,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
5,0.0,-5.998673779927799e-15,-5.998673779927799e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
6,5.9043311524203945e-05,0.002927998569269813,0.002987941937049904,9.000562558869607e-07,0.00012177458611439818,0.0,0.00012177458611439818,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
7,0.001389813357368791,0.0008639230443628909,0.0023448482655358954,9.111186380421354e-05,0.03622626704390686,0.0,0.03622626704390686,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
8,0.0004022960275749943,0.0016638009086892974,0.002082549809091505,1.6452872827213416e-05,0.0048190995162494255,0.0,0.0048190995162494255,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
9,6.784451148809933e-05,0.00028993317577129946,0.0003600387359221982,2.261048662799414e-06,0.0015102377481079898,0.0,0.0015102377481079898,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
10,3.2785444324702484e-05,0.0003061844102246053,0.0003389698545494049,9.71445146547012e-17,0.000766040697121495,0.0,0.000766040697121495,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
11,0.002261691320574688,0.004877165155769192,0.007358725652714809,0.0002198691763709293,0.0068294019185175525,0.0,0.0068294019185175525,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
12,0.001063935057212806,0.0074843735574045,0.008681987166251598,0.000133678551634292,0.004982067929821921,0.0,0.004982067929821921,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
13,6.845236728639931e-05,0.00015288241048269646,0.00022133477776909577,0.0,0.0013401501845751174,0.0,0.0013401501845751174,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
14,0.00023151951492189626,0.0007198827832571031,0.0009537063382221017,2.3040400431023622e-06,0.0009685895264323063,0.0,0.0009685895264323063,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
15,0.00013086885458579722,0.0003534719279211021,0.0004867639391772996,2.4231566704002727e-06,0.001038125663283651,0.0,0.001038125663283651,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
16,0.002133776082687777,0.003982751648622107,0.008047306996917969,0.0019307792656080847,0.0050591806349638,0.0,0.0050591806349638,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
17,0.0003133833207900061,0.000517983926307905,0.0008308206055358952,-5.466415620158926e-07,0.0011649953213431763,0.0,0.0011649953213431763,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
18,0.001090477720021299,0.0003124379118936982,0.0014055899381343884,2.6743062193912426e-06,0.009043344301165379,0.0,0.009043344301165379,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
19,0.0010523752582670132,0.008041833168716706,0.009116913965053486,2.270553806976716e-05,0.003257487571773132,0.0,0.003257487571773132,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
20,0.0014816016917549024,0.0015979820405775114,0.0030958741149303137,1.6290382597899944e-05,0.009499287560405856,0.0,0.009499287560405856,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
21,1.755674930760398e-05,0.003104048682430194,0.003121605431737992,1.942890293094024e-16,-0.0005726877004360587,0.0,-0.0005726877004360587,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
22,0.0004587695264443997,0.000641123480615402,0.0011079170818809048,8.024074821103011e-06,0.004688332324820799,0.0,0.004688332324820799,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
23,5.218563075429922e-05,3.019806626980426e-14,5.218563162669859e-05,8.422013086928359e-13,0.0014982474525997436,0.0,0.0014982474525996325,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
24,0.0005582689999166085,0.003944043635376107,0.004544416799866904,4.210416457418875e-05,0.006076035101752808,0.0,0.006076035101752808,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
25,0.00032337182170369405,0.0004883236123202905,0.0008315840419104992,1.9888607886514587e-05,0.002495861660413101,0.0,0.002495861660413101,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
26,4.371059500470065e-05,0.0,4.371059500470065e-05,0.0,0.000379754881666472,0.0,0.000379754881666472,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
27,0.00047813736905100157,0.0027897212407217986,0.0032897571929157016,2.1898583142901384e-05,0.003954991996191315,0.0,0.003954991996191315,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
28,0.00012512095936549616,0.0033400176919738955,0.003472939531456609,7.800880117217468e-06,0.0005387518321278151,-1.1102230246251565e-16,0.0005387518321279261,2.220446049250313e-16,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
29,0.0003064132027749966,0.0009722210038995982,0.0012914175123232008,1.278330564860597e-05,3.3560372354468626e-06,0.0,3.3560372354468626e-06,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
30,0.002564872110780325,0.005898155491416313,0.008555932422355306,9.290482015866797e-05,0.009934787903281728,0.0,0.009934787903281728,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
31,0.0004310493334358789,0.005095679858996199,0.005533698026426087,6.968833994008827e-06,0.002912105503191653,0.0,0.002912105503191653,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
32,0.0006084097949805023,0.0087438722411661,0.0091817436440714,-0.0001705383920752035,0.003398575283617533,0.0,0.003398575283617533,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
33,0.00024592568488671085,0.001568597216184714,0.0018124061263252167,-2.1167747462080833e-06,0.003032207683116517,0.0,0.003032207683116517,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
34,0.00017556047610639558,0.0,0.00017556047610639558,0.0,0.0005928779176274102,0.0,0.0005928779176274102,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
35,0.0010276895324223823,0.008518398561479401,0.009601699692980997,5.561159907921387e-05,0.00602399341939841,0.0,0.00602399341939841,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
36,4.6706428244502884e-05,0.0015228574382181032,0.001571761921566106,2.1980551035000184e-06,0.0006053823106253464,0.0,0.0006053823106253464,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
37,0.0,0.0004327871310199974,0.0004327871310199974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
38,0.0006070507426557958,0.0037894095269979944,0.004392688980411397,-3.7712892423935607e-06,0.0010141395886178461,0.0,0.0010141395886178461,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
39,0.0013775625234743044,0.000303324302342603,0.0016943383521417082,1.3451526324800844e-05,0.011037204117809729,0.0,0.011037204117809729,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
40,7.759970859960025e-05,0.0,7.759970859960025e-05,0.0,0.0004200164149921193,0.0,0.0004200164149921193,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
41,0.00016519705751941172,0.0,0.00016519705751941172,0.0,0.0021156997031823166,0.0,0.0021156997031823166,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
42,7.034436285320578e-05,0.000858894399686505,0.000930951415405501,1.712652865790143e-06,0.000363702781598807,0.0,0.000363702781598807,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
43,0.000823481005899504,0.0005038222497333045,0.001338290645896606,1.098739026379747e-05,0.013224377852276592,0.0,0.013224377852276592,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
44,0.0004880291142115023,0.005394947690063989,0.005901425672493299,1.8448868217807446e-05,6.703521012729752e-07,0.0,6.703521012729752e-07,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
45,6.507818934180232e-05,0.00032758371929070274,0.0004177098103700094,2.5047901737504374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
46,0.0007959459739773911,0.0024096229978441963,0.0032222179254438876,1.6648953622300233e-05,0.0032982562625519796,0.0,0.0032982562625519796,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
47,0.0004044658681719021,0.0009004041898127008,0.001309277756346608,4.4076983620050525e-06,0.0040641413612599875,1.1102230246251565e-16,0.0040641413612600985,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
48,0.00011419559805558865,0.009743222561952702,0.009865406361070694,7.988201062403277e-06,6.775595976415971e-05,0.0,6.775595976415971e-05,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
49,0.0004904171426876047,0.007078572284890394,0.007600889768585001,3.190034100700179e-05,0.0021541133264074697,0.0,0.0021541133264074697,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
50,0.0011687960612457998,0.001234584341788511,0.002731231306133411,0.00032785090309910003,0.010124009111069143,0.0,0.010124009111069143,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
51,0.0008190951340706076,0.00395865034634621,0.0047867596965947,9.014216177882783e-06,0.005333405463098906,0.0,0.005333405463098906,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
52,0.001254842200645312,0.006008111772607794,0.007304094563654107,4.114059040100093e-05,0.005765455066876091,0.0,0.005765455066876091,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
53,0.000995868219581697,0.0023164987603452036,0.003345746565844604,3.337958591770329e-05,0.004810700683774982,0.0,0.004810700683774982,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
54,0.0004784668836659012,0.0038425917430907064,0.004324870707677703,3.8120809210950846e-06,0.0024848415867072537,0.0,0.0024848415867072537,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
55,0.0001030914720963963,0.0,0.0001030914720963963,0.0,0.003365390873073415,0.0,0.003365390873073415,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
56,0.0004555081917109183,0.002762441513731506,0.003228697073696496,1.0747368254071521e-05,0.0007498164831277743,0.0,0.0007498164831277743,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
57,0.0014406099948292006,0.0006951366889615118,0.002147321464394003,1.1574780603290646e-05,0.0086943171940419,0.0,0.0086943171940419,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
58,0.0004759935775912952,0.0006269316659644961,0.0011255656542946968,2.2640410738905548e-05,0.007159593847328005,0.0,0.007159593847328005,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
59,0.0010902900524594195,0.010802215867586507,0.011964488248250305,7.198232820437855e-05,0.002565769064414747,0.0,0.002565769064414747,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
60,0.0004042529683974949,0.0007326154535612084,0.0011311608974541865,-5.7075245045168366e-06,1.4223791515721729e-06,0.0,1.4223791515721729e-06,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
61,0.0009736893915957973,0.002558611731062102,0.0036014177721128,6.911664945490059e-05,0.00905763238347601,0.0,0.00905763238347601,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
62,0.0,6.15969393027993e-05,6.15969393027993e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
63,0.003296276471221604,0.015091347802752397,0.01856220950566917,0.00017458523169516793,0.006497456923303058,0.0,0.006497456923303058,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
64,0.0010040252513827952,0.0013785054424392956,0.0024106846381651004,2.815394434300955e-05,0.009516560523509798,0.0,0.009516560523509798,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
65,0.0011882501276807844,0.0097550266266615,0.010997553205886496,5.427645154421068e-05,0.0038450659171537227,0.0,0.0038450659171537227,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
66,0.0006881801654149977,0.0006542303610228006,0.001345178690906404,2.768164468605616e-06,0.007469046183495864,0.0,0.007469046183495864,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
67,1.4800346663998432e-06,0.0,1.4800346663998432e-06,0.0,9.020797291925398e-07,0.0,9.020797291925398e-07,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
68,0.0007176211231714191,0.007750483262756597,0.0084850877250508,1.6983339122783603e-05,0.006627540848572422,0.0,0.006627540848572422,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
69,0.0005399174764296744,0.003326110487422207,0.0038559566811208756,-1.007128273100566e-05,-0.00019293937308229037,6.569966792824289e-12,-0.00019293934343067587,2.3081647704259467e-11,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
70,0.0009675449682908926,0.001400497869941092,0.00239380035120719,2.5757512975205232e-05,0.007350543445110602,0.0,0.007350543445110713,1.1102230246251565e-16,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
71,0.00042999288264208846,0.0006994991911008913,0.0011317541267451964,2.262053002216602e-06,0.002245743229049302,0.0,0.002245743229049302,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
72,1.0852815041109687e-05,0.0051580135536632155,0.005168866368704311,-1.3877787807814457e-17,1.8398659494822667e-06,0.0,1.8398659494822667e-06,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
73,9.242618024660199e-05,0.005507215503136292,0.005601938896576203,2.297213193308556e-06,0.00013840005344178952,0.0,0.00013840005344178952,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
74,0.0006478114627080089,0.00044037117177680996,0.0010980351011318223,9.852466647003455e-06,0.0021327780135276253,0.0,0.0021327780135276253,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
75,0.0011917590213096074,0.0018075277069738022,0.003056528477135806,5.72417488523963e-05,0.008209078426970329,0.0,0.008209078426970329,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
76,0.00047388896081618226,0.011360180419508814,0.011858871511506386,2.480213118138952e-05,0.000988322130713648,0.0,0.000988322130713648,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
77,0.0015093789684204884,0.001899909859597787,0.0034459790231592957,3.669019514102034e-05,0.005608279440813102,0.0,0.005608279440813102,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
78,0.0011343146777018087,0.002094650609125198,0.003703978611814318,0.0004750133249873112,0.0047631269298790135,0.0,0.0047631269298790135,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
79,0.0009338623172413935,0.0009375579403120976,0.0018864005806037004,1.4980323050209354e-05,0.005738738341043215,0.0,0.005738738341043215,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
80,9.095032915119872e-05,0.0007293522346024095,0.000826140317111701,5.837753358092779e-06,4.3958752117823074e-06,0.0,4.3958752117823074e-06,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
81,0.0008402913327892891,0.0048114354359845846,0.00567214986424841,2.042309547453658e-05,0.005271223561153393,0.0,0.005271223561153393,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
82,0.0002975771106897007,0.002712239922319809,0.003017515029600709,7.697996591199407e-06,0.001703155894969055,0.0,0.001703155894969055,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
83,0.0003762089737354979,0.0,0.0003762089737354979,0.0,0.0018049544447000243,0.0,0.0018049544447000243,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
84,0.0010822840632461056,-5.734609281710101e-05,0.0010567187401807066,3.1780769751701965e-05,0.010521600733337189,0.0,0.010521600733337189,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
85,0.0,4.9965335241999864e-05,4.9965335241999864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
86,0.0008172692507372875,0.001045155947536791,0.0018836289539513884,2.120375567730981e-05,0.003711307839827649,0.0,0.003711307839827649,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
87,0.0,0.0010062073773924873,0.0010062073773924873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
88,4.844812941801058e-06,8.322595020399115e-06,1.532901992309932e-05,2.1616119608991458e-06,3.131042415116525e-05,0.0,3.131042415116525e-05,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
89,0.0015266607878919036,0.0023832324463108068,0.003958300172104995,4.840693790228445e-05,0.007128418555469973,0.0,0.007128418555469973,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
90,0.0011097566875858944,0.0,0.0011097566875858944,0.0,6.265989588305487e-07,0.0,6.265989588305487e-07,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
91,0.0011154188753470101,0.00042222984168570343,0.0015531362572974994,1.5487540264785826e-05,0.0077692940055624216,0.0,0.0077692940055624216,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
