metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,30,0,0.014326345608241586,0.011997526092587599,0.010468206689268159,0.01884580123936503,0.004188797275048436
loss,delta_rec,30,0,0.029120625906539417,0.021269147461686802,0.019810922194580173,0.04054030852964567,0.01036469316753275
loss,delta_int,30,0,0.01211507850634157,0.00041910077273894786,-0.003974062835912197,0.0282709754062178,0.016122519121064997
loss,total,30,0,0.05556205002112258,0.04423882625604614,0.040156677408738135,0.07318910292736888,0.016516212759315373
Lambda,delta_prop,30,0,0.045750877297014186,0.03354297254216748,0.03128205152571378,0.06465679885629835,0.016687373665292285
Lambda,delta_rec,30,0,-3.7007434154171884e-18,0.0,-1.1102230246251566e-17,0.0,5.551115123125783e-18
Lambda,delta_int,30,0,3.7007434154171884e-18,0.0,0.0,1.1102230246251566e-17,5.551115123125783e-18
Lambda,total,30,0,0.045750877297014186,0.03354297254216748,0.03128205152571378,0.06465679885629835,0.016687373665292285
T_rec,delta_prop,26,4,0.0,0.0,0.0,0.0,0.0
T_rec,delta_rec,24,6,404.5833333333333,395.0,313.75,497.0833333333333,91.66666666666666
T_rec,delta_int,17,13,17.058823529411764,10.0,-6.470588235294118,42.35294117647059,24.41176470588235
T_rec,total,17,13,363.52941176470586,350.0,274.11764705882354,452.3676470588236,89.12500000000003
lock_in,delta_prop,30,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,30,0,0.06666666666666667,0.0,0.0,0.16666666666666666,0.08333333333333333
lock_in,delta_int,30,0,0.23333333333333334,0.0,0.1,0.4,0.15000000000000002
lock_in,total,30,0,0.3,0.0,0.13333333333333333,0.4666666666666667,0.16666666666666669
