metric,expected_channel,off_diagonal_channel,expected_effect,off_diagonal_effect,dominance_ratio
Lambda,delta_prop,delta_rec,0.045750877297014186,3.7007434154171884e-18,inf
T_rec,delta_rec,delta_prop,404.5833333333333,0.0,inf
