R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,design_seed
0.903528099808482,0.0964719001915178,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0,0
0.8960823936172058,0.1039176063827942,0.5186643347402689,0.4813356652597311,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,10,0
0.8992222048923,0.1007777951077,0.4983869185095407,0.5016130814904592,360.0,1170.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,1,0
0.8259756969144292,0.1740243030855708,0.5186643347402689,0.4813356652597311,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,0,11,0
0.9473650820202354,0.0526349179797646,0.4232827758911381,0.5767172241088618,360.0,720.0,False,3760.0,0.0,0.9999999999999992,00,operational,5,0,0
0.9448907463406911,0.0551092536593087,0.427800675291169,0.572199324708831,360.0,720.0,False,3760.0,0.0,0.9999999999999992,10,operational,5,10,0
0.946726880161901,0.053273119838099,0.4232827758911381,0.5767172241088618,360.0,730.0,False,3760.0,0.0,0.9999999999999992,01,operational,5,1,0
0.9439827784031332,0.0560172215968668,0.427800675291169,0.572199324708831,360.0,740.0,False,3760.0,0.0,0.9999999999999992,11,operational,5,11,0
0.9268501930459612,0.0731498069540389,0.4609316073774193,0.5390683926225807,360.0,950.0,False,3760.0,0.0,0.9999999999999992,00,operational,10,0,0
0.9208803333921828,0.0791196666078173,0.4669814395008356,0.5330185604991644,360.0,950.0,False,3760.0,0.0,0.9999999999999992,10,operational,10,10,0
0.9135646833203812,0.0864353166796189,0.4609316073774193,0.5390683926225807,360.0,1110.0,False,3760.0,0.0,0.9999999999999992,01,operational,10,1,0
0.7973878675383823,0.2026121324616177,0.4669814395008356,0.5330185604991644,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,10,11,0
0.8862075108475252,0.1137924891524747,0.7087940988866612,0.2912059011133387,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,15,0,0
0.8770023624755651,0.1229976375244349,0.772911732233815,0.2270882677661849,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,15,10,0
0.8752108573735828,0.1247891426264171,0.7087940988866612,0.2912059011133387,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,01,operational,15,1,0
0.7623740156967616,0.2376259843032384,0.772911732233815,0.2270882677661849,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,15,11,0
0.9425791063817948,0.0574208936182053,0.4108185998309868,0.5891814001690132,360.0,810.0,False,3760.0,0.0,0.9999999999999992,00,operational,20,0,0
0.9351635095127075,0.0648364904872923,0.4393907557997515,0.5606092442002485,360.0,820.0,False,3760.0,0.0,0.9999999999999992,10,operational,20,10,0
0.934604565244324,0.065395434755676,0.4108185998309868,0.5891814001690132,360.0,940.0,False,3760.0,0.0,0.9999999999999992,01,operational,20,1,0
0.8088109568068631,0.1911890431931369,0.4393907557997515,0.5606092442002485,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,20,11,0
0.9103287497391253,0.0896712502608748,0.6730886215056311,0.3269113784943689,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,00,operational,25,0,0
0.8971051499159233,0.1028948500840767,0.7317398393599304,0.2682601606400697,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,10,operational,25,10,0
0.8973292333640753,0.1026707666359246,0.6730886215056311,0.3269113784943689,360.0,1210.0,False,3760.0,0.0,0.9999999999999992,01,operational,25,1,0
0.7776489734968084,0.2223510265031916,0.7317398393599304,0.2682601606400697,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,25,11,0
0.9476492596735392,0.0523507403264607,0.3749385554972162,0.6250614445027838,360.0,780.0,False,3760.0,0.0,0.9999999999999992,00,operational,30,0,0
0.9400354700539786,0.0599645299460214,0.4142506135953022,0.5857493864046978,360.0,780.0,False,3760.0,0.0,0.9999999999999992,10,operational,30,10,0
0.9384949765553184,0.0615050234446814,0.3749385554972162,0.6250614445027838,360.0,900.0,False,3760.0,0.0,0.9999999999999992,01,operational,30,1,0
0.9319736683741564,0.0680263316258437,0.4142506135953022,0.5857493864046978,360.0,930.0,False,3760.0,0.0,0.9999999999999992,11,operational,30,11,0
0.9258759732773428,0.0741240267226571,0.4572201298651203,0.5427798701348797,360.0,990.0,False,3760.0,0.0,0.9999999999999992,00,operational,35,0,0
0.9175021296651698,0.0824978703348302,0.4813511529714693,0.5186488470285306,360.0,990.0,False,3760.0,0.0,0.9999999999999992,10,operational,35,10,0
0.9208710636632368,0.0791289363367633,0.4572201298651203,0.5427798701348797,360.0,1060.0,False,3760.0,0.0,0.9999999999999992,01,operational,35,1,0
0.9137118280372402,0.0862881719627598,0.4813511529714693,0.5186488470285306,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,11,operational,35,11,0
0.9205675644282456,0.0794324355717545,0.6760963111780314,0.3239036888219687,360.0,880.0,False,3760.0,0.0,0.9999999999999992,00,operational,40,0,0
0.9148568536691764,0.0851431463308235,0.7551693870983747,0.2448306129016254,360.0,890.0,False,3760.0,0.0,0.9999999999999992,10,operational,40,10,0
0.9099922259752312,0.0900077740247689,0.6760963111780314,0.3239036888219687,360.0,1030.0,False,3760.0,0.0,0.9999999999999992,01,operational,40,1,0
0.8422619192133218,0.1577380807866781,0.7551693870983747,0.2448306129016254,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,40,11,0
0.9462942600663417,0.0537057399336583,0.4148737966809087,0.5851262033190913,360.0,730.0,False,3760.0,0.0,0.9999999999999992,00,operational,45,0,0
0.9424986555191208,0.0575013444808792,0.4237994068102403,0.5762005931897597,360.0,730.0,False,3760.0,0.0,0.9999999999999992,10,operational,45,10,0
0.9399973569049492,0.0600026430950506,0.4148737966809087,0.5851262033190913,360.0,810.0,False,3760.0,0.0,0.9999999999999992,01,operational,45,1,0
0.8636762187016214,0.1363237812983786,0.4237994068102403,0.5762005931897597,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,45,11,0
0.954791737067174,0.0452082629328258,0.3747455939900203,0.6252544060099797,360.0,710.0,False,3760.0,0.0,0.9999999999999992,00,operational,50,0,0
0.951306079425532,0.0486939205744678,0.3917127407392931,0.6082872592607069,360.0,710.0,False,3760.0,0.0,0.9999999999999992,10,operational,50,10,0
0.951441722423946,0.0485582775760541,0.3747455939900203,0.6252544060099797,360.0,770.0,False,3760.0,0.0,0.9999999999999992,01,operational,50,1,0
0.8733809888399245,0.1266190111600754,0.3917127407392931,0.6082872592607069,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,50,11,0
0.9380530620230888,0.0619469379769112,0.3951381125854909,0.6048618874145091,360.0,930.0,False,3760.0,0.0,0.9999999999999992,00,operational,55,0,0
0.9317886916224868,0.0682113083775133,0.4221047391539085,0.5778952608460914,360.0,930.0,False,3760.0,0.0,0.9999999999999992,10,operational,55,10,0
0.9376183390237104,0.0623816609762896,0.3951381125854909,0.6048618874145091,360.0,940.0,False,3760.0,0.0,0.9999999999999992,01,operational,55,1,0
0.9312523980938616,0.0687476019061384,0.4221047391539085,0.5778952608460914,360.0,940.0,False,3760.0,0.0,0.9999999999999992,11,operational,55,11,0
0.8910243185468429,0.108975681453157,0.4914499321654529,0.508550067834547,360.0,1280.0,False,3760.0,0.0,0.9999999999999992,00,operational,60,0,0
0.8800545472349838,0.1199454527650162,0.5103888147842889,0.4896111852157111,360.0,1280.0,False,3760.0,0.0,0.9999999999999992,10,operational,60,10,0
0.8837355441146908,0.1162644558853092,0.4914499321654529,0.508550067834547,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,01,operational,60,1,0
0.8712703346339089,0.1287296653660911,0.5103888147842889,0.4896111852157111,360.0,1390.0,False,3760.0,0.0,0.9999999999999992,11,operational,60,11,0
0.9538948033118356,0.0461051966881642,0.3936961266706873,0.6063038733293127,360.0,700.0,False,3760.0,0.0,0.9999999999999992,00,operational,65,0,0
0.944980257183972,0.0550197428160279,0.4620303153545394,0.5379696846454606,360.0,700.0,False,3760.0,0.0,0.9999999999999992,10,operational,65,10,0
