replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.007429585549225237,0.004302174428667649,0.07782551396175352,0.06609375398386064,0.020262642240880813,0.0,0.020262642240880813,0.0,0.0,50.0,,,0.0,50.0,2640.0,2590.0,0.0,0.0,1.0,1.0,True
1,0.012467430443115823,0.0074976048653525584,0.01971243333538386,-0.0002526019730845208,0.11274738613537683,0.0,0.11274738613537683,0.0,0.0,120.0,130.0,10.0,0.0,120.0,130.0,10.0,0.0,0.0,0.0,0.0,False
2,0.008650174522027987,0.011056721646610201,0.02024906947373517,0.0005421733050969824,0.03730426871210257,0.0,0.03730426871210257,0.0,0.0,190.0,220.0,30.0,0.0,190.0,220.0,30.0,0.0,0.0,0.0,0.0,False
3,0.01020054656971714,0.0033652402487087674,0.017534636315868046,0.0039688494974421396,0.02624290180261457,0.0,0.02624290180261457,0.0,0.0,40.0,80.0,40.0,0.0,40.0,80.0,40.0,0.0,0.0,0.0,0.0,False
4,0.006634402491241254,0.00787351770867295,0.12505128075264205,0.11054336055272784,0.013224160025502196,0.0,0.013224160025502196,0.0,0.0,100.0,,,0.0,100.0,2750.0,2650.0,0.0,0.0,1.0,1.0,True
5,0.0024676850333903433,0.0006414885959882266,0.0033835190027786677,0.0002743453734000978,0.0046089347400587455,0.0,0.0046089347400587455,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
6,0.0040261356887137945,0.01179704597837028,0.08150060048137353,0.06567741881428946,0.00585482690219119,0.0,0.00585482690219119,0.0,0.0,120.0,,,0.0,120.0,2580.0,2460.0,0.0,0.0,1.0,1.0,True
7,0.0020158253027464657,0.0003290510848733552,0.0030053577404599574,0.0006604813528401365,0.014095367929308877,0.0,0.014095367929308877,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,False
8,0.002927890000785638,0.0018715746183379789,0.08091233801910946,0.07611287339998585,0.02323204780469601,0.0,0.02323204780469601,0.0,0.0,40.0,,,0.0,40.0,3160.0,3120.0,0.0,0.0,1.0,1.0,True
9,0.006759929285291011,0.003926689356783752,0.07808725407907402,0.06740063543699926,0.010719546553465853,0.0,0.010719546553465853,0.0,0.0,60.0,,,0.0,60.0,2760.0,2700.0,0.0,0.0,1.0,1.0,True
10,0.005955350156202854,0.01332537970350145,0.12941867062049905,0.11013794076079475,0.006205010713600134,0.0,0.006205010713600134,0.0,0.0,160.0,,,0.0,160.0,2810.0,2650.0,0.0,0.0,1.0,1.0,True
11,0.018270332291114633,0.012616629586995831,0.1049975991249481,0.07411063724683764,0.12460436744758097,0.0,0.12460436744758097,0.0,0.0,120.0,60.0,-60.0,0.0,120.0,60.0,-60.0,0.0,0.0,0.0,0.0,False
12,0.013572553201032123,0.013292246942657626,0.02700800645753043,0.0001432063138406825,0.06242875170099238,0.0,0.06242875170099238,0.0,0.0,170.0,200.0,30.0,0.0,170.0,200.0,30.0,0.0,0.0,0.0,0.0,False
13,0.011672419661189148,0.012980991353611637,0.08350581992065886,0.05885240890585808,0.011403098128449862,0.0,0.011403098128449862,0.0,0.0,150.0,,,0.0,150.0,2260.0,2110.0,0.0,0.0,1.0,1.0,True
14,0.007283344845744444,0.00592025810757979,0.07748434673248739,0.06428074377916315,0.04413343350382659,0.0,0.04413343350382659,0.0,10.0,70.0,,,10.0,70.0,2640.0,2560.0,0.0,0.0,1.0,1.0,True
15,0.009194102518435554,0.01093805662899694,0.12379077163902608,0.10365861249159358,0.06393932807133818,0.0,0.06393932807133818,0.0,0.0,90.0,,,0.0,90.0,2640.0,2550.0,0.0,0.0,1.0,1.0,True
16,0.014719874797010313,0.01359221315036041,0.08811973318439681,0.059807645237026086,0.030522187293873126,0.0,0.030522187293873126,0.0,0.0,150.0,,,0.0,150.0,2410.0,2260.0,0.0,0.0,1.0,1.0,True
17,0.02095571849169864,0.0010187726984490775,0.15365614332292488,0.13168165213277716,0.261426392408625,0.0,0.261426392408625,0.0,10.0,20.0,,,10.0,20.0,3200.0,3170.0,0.0,0.0,1.0,1.0,True
18,0.0218567518074253,0.022969259916505558,0.09748557800074675,0.052659566276815895,0.09725437953574978,0.0,0.09725437953574978,0.0,0.0,350.0,,,0.0,350.0,2350.0,2000.0,0.0,0.0,1.0,1.0,True
19,0.0039142978006437845,0.0029090396893362014,0.007914735329920708,0.001091397839940722,0.01785532155126135,0.0,0.01785532155126135,0.0,0.0,40.0,70.0,30.0,0.0,40.0,70.0,30.0,0.0,0.0,0.0,0.0,False
20,0.00741605099203646,0.007906047544797956,0.13371336660582012,0.1183912680689857,0.029184428622508807,0.0,0.029184428622508807,0.0,10.0,120.0,,,10.0,120.0,2950.0,2820.0,0.0,0.0,1.0,1.0,True
21,0.017353859219552348,0.01515522408954073,0.8018714659403695,0.7693623826312764,0.08813649574652616,0.0,0.08813649574652616,0.0,0.0,190.0,,,0.0,190.0,2430.0,2240.0,0.0,0.0,1.0,1.0,True
22,0.005618273186135392,0.0006259481954107304,0.007801934637521324,0.0015577132559752016,0.010811695550955402,0.0,0.010811695550955402,0.0,10.0,30.0,50.0,10.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,False
23,0.0018541329793745343,0.0023972954402633473,0.004851847989778224,0.0006004195701403425,0.008045470509772445,0.0,0.008045470509772445,0.0,0.0,50.0,60.0,10.0,0.0,50.0,60.0,10.0,0.0,0.0,0.0,0.0,False
