metric,propagation coupling,restoration coupling,interaction,total (11 - 00)
1 - R  (overall resilience loss),0.009476597242347506,0.00865222795453321,0.07591413105390421,0.09404295625078492
Lambda  (depth of drop),0.04605625703294495,0.0,0.0,0.04605625703294495
T_rec  (recovery delay),1.6666666666666667,104.66666666666667,15.0,88.33333333333333
lock-in  (never recovers in horizon),0.0,0.0,0.6,0.6
