metric,expected_channel,off_diagonal_channel,expected_effect,off_diagonal_effect,dominance_ratio
Lambda,delta_prop,delta_rec,0.04605625703294495,0.0,inf
T_rec,delta_rec,delta_prop,104.66666666666667,1.6666666666666667,62.8
