R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,frac_damaged
0.9213355855748652,0.0786644144251349,0.4025610830158069,0.597438916984193,360.0,2680.0,False,6760.0,0.0,0.9999999999999976,00,operational,0,0.3546099290780142
0.9011512073946988,0.0988487926053011,0.4025610830158069,0.597438916984193,360.0,3170.0,False,6760.0,0.0,0.9999999999999976,01,operational,0,0.3546099290780142
0.8985398743640499,0.10146012563595,0.5146094810674199,0.4853905189325801,360.0,2680.0,False,6760.0,0.0,0.9999999999999976,10,operational,0,0.3546099290780142
0.8172427263337624,0.1827572736662376,0.5146094810674199,0.4853905189325801,360.0,,True,6760.0,1.0,0.8897255085240824,11,operational,0,0.3546099290780142
0.8115452570677376,0.1884547429322624,0.6241386934076303,0.3758613065923696,360.0,3620.0,False,6760.0,0.0,0.9999999999999976,00,operational,1,0.4397163120567376
0.782727907517905,0.217272092482095,0.6241386934076303,0.3758613065923696,360.0,5360.0,False,6760.0,0.0,0.9999999999999976,01,operational,1,0.4397163120567376
0.7997245094369464,0.2002754905630536,0.6544840414505534,0.3455159585494466,360.0,3620.0,False,6760.0,0.0,0.9999999999999976,10,operational,1,0.4397163120567376
0.721807398279038,0.278192601720962,0.6544840414505534,0.3455159585494466,360.0,,True,6760.0,1.0,0.8505612412144664,11,operational,1,0.4397163120567376
0.8927540372700457,0.1072459627299543,0.6232774135279051,0.3767225864720948,360.0,2500.0,False,6760.0,0.0,0.9999999999999976,00,operational,2,0.3900709219858156
0.8747761161193941,0.1252238838806059,0.6232774135279051,0.3767225864720948,360.0,3010.0,False,6760.0,0.0,0.9999999999999976,01,operational,2,0.3900709219858156
0.886931598474479,0.113068401525521,0.650599042219157,0.3494009577808429,360.0,2500.0,False,6760.0,0.0,0.9999999999999976,10,operational,2,0.3900709219858156
0.8701814741243374,0.1298185258756625,0.650599042219157,0.3494009577808429,360.0,3050.0,False,6760.0,0.0,0.9999999999999976,11,operational,2,0.3900709219858156
0.9608501084777964,0.0391498915222037,0.2988061557216241,0.7011938442783758,360.0,1400.0,False,6760.0,0.0,0.9999999999999976,00,operational,3,0.2482269503546099
0.9576588981797738,0.0423411018202262,0.2988061557216241,0.7011938442783758,360.0,1530.0,False,6760.0,0.0,0.9999999999999976,01,operational,3,0.2482269503546099
0.954275931476218,0.0457240685237819,0.3651491355927341,0.6348508644072659,360.0,1400.0,False,6760.0,0.0,0.9999999999999976,10,operational,3,0.2482269503546099
0.8948255038810787,0.1051744961189212,0.3651491355927341,0.6348508644072659,360.0,,True,6760.0,1.0,0.9310543269942446,11,operational,3,0.2482269503546099
0.8740543949564006,0.1259456050435994,0.6423901643376657,0.3576098356623342,360.0,2720.0,False,6760.0,0.0,0.9999999999999976,00,operational,4,0.3120567375886525
0.8530208293375088,0.1469791706624912,0.6423901643376657,0.3576098356623342,360.0,3500.0,False,6760.0,0.0,0.9999999999999976,01,operational,4,0.3120567375886525
0.8624052551254043,0.1375947448745956,0.6778800934093634,0.3221199065906366,360.0,2720.0,False,6760.0,0.0,0.9999999999999976,10,operational,4,0.3120567375886525
0.5848617393229741,0.4151382606770258,0.6778800934093634,0.3221199065906366,360.0,,True,6760.0,1.0,0.6004069527270722,11,operational,4,0.3120567375886525
0.991779871602932,0.0082201283970678,0.0722382070034571,0.9277617929965428,360.0,940.0,False,6760.0,0.0,0.9999999999999976,00,operational,5,0.1702127659574468
0.991383789857562,0.0086162101424379,0.0722382070034571,0.9277617929965428,360.0,990.0,False,6760.0,0.0,0.9999999999999976,01,operational,5,0.1702127659574468
0.9909028855633673,0.0090971144366328,0.08269284072019,0.91730715927981,360.0,940.0,False,6760.0,0.0,0.9999999999999976,10,operational,5,0.1702127659574468
0.9902239498030476,0.0097760501969524,0.08269284072019,0.91730715927981,360.0,1000.0,False,6760.0,0.0,0.9999999999999976,11,operational,5,0.1702127659574468
0.7683622713499165,0.2316377286500834,0.7089209899403441,0.2910790100596559,360.0,4090.0,False,6760.0,0.0,0.9999999999999976,00,operational,6,0.5531914893617021
0.7313105096130896,0.2686894903869103,0.7089209899403441,0.2910790100596559,360.0,5260.0,False,6760.0,0.0,0.9999999999999976,01,operational,6,0.5531914893617021
0.7612206166299005,0.2387793833700995,0.7242615455699234,0.2757384544300766,360.0,4090.0,False,6760.0,0.0,0.9999999999999976,10,operational,6,0.5531914893617021
