metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,60,0,0.013019511408179007,0.012732008333333322,0.011740129669669499,0.01435553790268776,0.0013077041165091303
loss,delta_rec,60,0,0.013683781829824496,0.01108070781865067,0.011046417768094773,0.016661861180272974,0.0028077217060891004
loss,delta_int,60,0,0.07625792877036398,0.08032509832068091,0.06642024197548653,0.08633965764785564,0.009959707836184557
loss,total,60,0,0.1029612220083675,0.11596822315563404,0.09096845205500985,0.11564667509651777,0.01233911152075396
Lambda,delta_prop,60,0,0.05887000000000001,0.05869999999999992,0.0528029166666667,0.06539016666666668,0.00629362499999999
Lambda,delta_rec,60,0,0.0,0.0,0.0,0.0,0.0
Lambda,delta_int,60,0,0.0,0.0,0.0,0.0,0.0
Lambda,total,60,0,0.05887000000000001,0.05869999999999992,0.0528029166666667,0.06539016666666668,0.00629362499999999
T_rec,delta_prop,60,0,0.38333333333333336,0.0,0.25,0.5166666666666667,0.13333333333333336
T_rec,delta_rec,60,0,29.566666666666666,27.5,25.016666666666666,34.61708333333333,4.800208333333334
T_rec,delta_int,6,54,8.833333333333334,9.0,6.833333333333333,10.666666666666666,1.9166666666666665
T_rec,total,6,54,18.333333333333332,18.0,13.333333333333334,23.5,5.083333333333333
lock_in,delta_prop,60,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,60,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_int,60,0,0.9,1.0,0.8166666666666667,0.9666666666666667,0.07500000000000001
lock_in,total,60,0,0.9,1.0,0.8166666666666667,0.9666666666666667,0.07500000000000001
