metric,propagation coupling,restoration coupling,interaction,total (11 - 00)
1 - R  (overall resilience loss),0.013019511408179007,0.013683781829824496,0.07625792877036398,0.1029612220083675
Lambda  (depth of drop),0.05887000000000001,0.0,0.0,0.05887000000000001
T_rec  (recovery delay),0.38333333333333336,29.566666666666666,8.833333333333334,18.333333333333332
lock-in  (never recovers in horizon),0.0,0.0,0.9,0.9
