metric,expected_channel,off_diagonal_channel,expected_effect,off_diagonal_effect,dominance_ratio
Lambda,delta_prop,delta_rec,0.05887000000000001,0.0,inf
T_rec,delta_rec,delta_prop,29.566666666666666,0.38333333333333336,77.13043478260869
