flood_peak,loss_delta_prop,loss_delta_prop_lo,loss_delta_prop_hi,loss_delta_rec,loss_delta_rec_lo,loss_delta_rec_hi,loss_delta_int,loss_delta_int_lo,loss_delta_int_hi,loss_total,loss_total_lo,loss_total_hi,Lambda_delta_prop,Lambda_delta_prop_lo,Lambda_delta_prop_hi,lock_in_delta_int,lock_in_delta_int_lo,lock_in_delta_int_hi,frac_damaged,F_min_arm00
0.4,0.0045820086749556,0.0038605767125425,0.0053433572037131,0.0019740555343283,0.0012280570107743,0.0029118235010248,0.0381949136677394,0.0205987377036054,0.0616757229488533,0.0447509778770234,0.0261603858821171,0.0695427672040468,0.0402110805133278,0.0317123936168207,0.050901965246723,0.3,0.21,0.39,0.2147368421052631,0.6720616073888795
0.5,0.0075089299561027,0.0065988655785821,0.008432359171629,0.0056892268911717,0.0040701167542669,0.0076528432934871,0.0514353161641051,0.034511563888487,0.0724643942836509,0.0646334730113797,0.0460690319516628,0.0878786507200774,0.0447961158308675,0.0360802584807662,0.0546581819304153,0.48,0.38,0.58,0.2978947368421052,0.5471529823581658
0.6,0.0107178643569365,0.0096452187660061,0.0118273634779542,0.0102057216836691,0.0079540668147737,0.0128587031068146,0.07194408662079,0.0490717197947711,0.1002133445223311,0.0928676726613957,0.0682515678459765,0.1230740275640981,0.0456583984472531,0.0377387441469409,0.0544728054522449,0.57,0.47,0.67,0.37175438596491217,0.44437351867277447
0.7,0.0135377349750824,0.0123128236174391,0.0148429612123354,0.0174171699620961,0.0140816266078649,0.0213495375413257,0.0905146794416557,0.06566652984168,0.1204833679850856,0.1214695843788344,0.0942986958532539,0.1541651470486849,0.0429010800183467,0.0353221072291765,0.0523055898262457,0.71,0.62,0.8,0.43754385964912273,0.37528619236709
0.8,0.0160598673887167,0.0147432816635989,0.0174361928432864,0.0263318339744315,0.022074642994684,0.0309294131779723,0.0943685134894939,0.0701755195295752,0.1220035101003902,0.1367602148526422,0.1099831084238081,0.1678482896911508,0.0388803372829352,0.0326326994405132,0.045804349848852,0.78,0.7,0.86,0.4929824561403508,0.31788974599545883
0.9,0.0189449752741258,0.0175356203396118,0.0203827782791829,0.0400430965265088,0.033697624310585,0.0469440843218691,0.1287431229366738,0.1001170093551224,0.1607491936719099,0.1877311947373084,0.1543319229261586,0.2230526846377037,0.0354107924826831,0.030299030191624,0.0413003705410077,0.85,0.78,0.92,0.5459649122807018,0.27189779017707744
