R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check
0.9842676791675496,0.0157323208324503,0.4037925032469533,0.5962074967530466,360.0,2670.0,False,34760.0,0.0,0.9999999999999976,00,operational,0,0
0.9797131745241172,0.0202868254758828,0.5149437635043853,0.4850562364956147,360.0,2670.0,False,34760.0,0.0,0.9999999999999976,10,operational,0,10
0.9802531883890112,0.0197468116109886,0.4037925032469533,0.5962074967530466,360.0,3160.0,False,34760.0,0.0,0.9999999999999976,01,operational,0,1
0.8750166895859428,0.1249833104140571,0.5149437635043853,0.4850562364956147,360.0,,True,34760.0,1.0,0.8893731201557741,11,operational,0,11
0.9730984742738814,0.0269015257261185,0.6283645024090005,0.3716354975909994,360.0,2880.0,False,34760.0,0.0,0.9999999999999976,00,operational,20,0
0.9711975070412068,0.0288024929587931,0.6610372901076691,0.3389627098923308,360.0,2880.0,False,34760.0,0.0,0.9999999999999976,10,operational,20,10
0.967473533493868,0.0325264665061321,0.6283645024090005,0.3716354975909994,360.0,3720.0,False,34760.0,0.0,0.9999999999999976,01,operational,20,1
0.636618912546066,0.363381087453934,0.6610372901076691,0.3389627098923308,360.0,,True,34760.0,1.0,0.6430575657833794,11,operational,20,11
0.991669710101826,0.0083302898981739,0.3575050466350971,0.6424949533649029,360.0,1180.0,False,34760.0,0.0,0.9999999999999976,00,operational,40,0
0.9911154688621416,0.0088845311378582,0.3810669080490714,0.6189330919509286,360.0,1180.0,False,34760.0,0.0,0.9999999999999976,10,operational,40,10
0.9914645417619016,0.0085354582380985,0.3575050466350971,0.6424949533649029,360.0,1230.0,False,34760.0,0.0,0.9999999999999976,01,operational,40,1
0.9906858486280282,0.0093141513719717,0.3810669080490714,0.6189330919509286,360.0,1280.0,False,34760.0,0.0,0.9999999999999976,11,operational,40,11
0.962795203546332,0.037204796453668,0.68745047270948,0.31254952729052,360.0,3490.0,False,34760.0,0.0,0.9999999999999974,00,operational,60,0
0.9619356752729472,0.0380643247270527,0.6888683381382015,0.3111316618617985,360.0,3490.0,False,34760.0,0.0,0.9999999999999974,10,operational,60,10
0.959783275635767,0.0402167243642329,0.68745047270948,0.31254952729052,360.0,4400.0,False,34760.0,0.0,0.9999999999999974,01,operational,60,1
0.8609291456931468,0.1390708543068531,0.6888683381382015,0.3111316618617985,360.0,,True,34760.0,1.0,0.8893731202453783,11,operational,60,11
0.9858977713297432,0.0141022286702566,0.425358040696032,0.574641959303968,360.0,1930.0,False,34760.0,0.0,0.9999999999999976,00,operational,80,0
0.9853928031674816,0.0146071968325185,0.4301924400172381,0.5698075599827619,360.0,1930.0,False,34760.0,0.0,0.9999999999999976,10,operational,80,10
0.9833947991191414,0.0166052008808585,0.425358040696032,0.574641959303968,360.0,2370.0,False,34760.0,0.0,0.9999999999999976,01,operational,80,1
0.9825120108346675,0.0174879891653324,0.4301924400172381,0.5698075599827619,360.0,2420.0,False,34760.0,0.0,0.9999999999999976,11,operational,80,11
0.980880454291279,0.0191195457087209,0.6687653108515829,0.3312346891484171,360.0,2510.0,False,34760.0,0.0,0.9999999999999976,00,operational,100,0
0.9790653180998896,0.0209346819001104,0.7335467974289636,0.2664532025710364,360.0,2510.0,False,34760.0,0.0,0.9999999999999976,10,operational,100,10
0.9798260167090794,0.0201739832909205,0.6687653108515829,0.3312346891484171,360.0,3050.0,False,34760.0,0.0,0.9999999999999976,01,operational,100,1
0.8219780713366817,0.1780219286633183,0.7335467974289636,0.2664532025710364,360.0,,True,34760.0,1.0,0.8325521758208543,11,operational,100,11
0.9753145774758684,0.0246854225241315,0.6121050306633256,0.3878949693366744,360.0,2880.0,False,34760.0,0.0,0.9999999999999976,00,operational,120,0
0.9718950429249804,0.0281049570750195,0.7061091159334991,0.2938908840665009,360.0,2880.0,False,34760.0,0.0,0.9999999999999976,10,operational,120,10
0.973725514281719,0.0262744857182809,0.6121050306633256,0.3878949693366744,360.0,3210.0,False,34760.0,0.0,0.9999999999999976,01,operational,120,1
0.966825774650416,0.0331742253495841,0.7061091159334991,0.2938908840665009,360.0,3300.0,False,34760.0,0.0,0.9999999999999976,11,operational,120,11
0.9532617470527768,0.0467382529472231,0.8227664988637727,0.1772335011362272,200.0,3730.0,False,34760.0,0.0,0.9999999999999976,00,operational,140,0
0.950168644840144,0.0498313551598561,0.8227664988637727,0.1772335011362272,200.0,3730.0,False,34760.0,0.0,0.9999999999999976,10,operational,140,10
0.9432057378621144,0.0567942621378856,0.8227664988637727,0.1772335011362272,200.0,4990.0,False,34760.0,0.0,0.9999999999999976,01,operational,140,1
0.9426806449001898,0.0573193550998102,0.8227664988637727,0.1772335011362272,200.0,5020.0,False,34760.0,0.0,0.9999999999999976,11,operational,140,11
0.9624057050807796,0.0375942949192203,0.7301773009845293,0.2698226990154707,360.0,3100.0,False,34760.0,0.0,0.9999999999999976,00,operational,160,0
0.96037237533103,0.0396276246689698,0.7752580293477765,0.2247419706522234,360.0,3100.0,False,34760.0,0.0,0.9999999999999976,10,operational,160,10
0.9560672272719268,0.0439327727280731,0.7301773009845293,0.2698226990154707,360.0,4490.0,False,34760.0,0.0,0.9999999999999976,01,operational,160,1
0.9576655204842124,0.0423344795157875,0.7752580293477765,0.2247419706522234,360.0,3970.0,False,34760.0,0.0,0.9999999999999976,11,operational,160,11
0.9834418193089955,0.0165581806910043,0.4155888978162152,0.5844111021837848,360.0,2200.0,False,34760.0,0.0,0.9999999999999974,00,operational,180,0
0.9830351787372376,0.0169648212627624,0.4352089863067897,0.5647910136932103,360.0,2200.0,False,34760.0,0.0,0.9999999999999974,10,operational,180,10
0.9807451768592854,0.0192548231407145,0.4155888978162152,0.5844111021837848,360.0,2580.0,False,34760.0,0.0,0.9999999999999974,01,operational,180,1
0.9803669208045114,0.0196330791954886,0.4352089863067897,0.5647910136932103,360.0,2580.0,False,34760.0,0.0,0.9999999999999974,11,operational,180,11
0.9623198114231668,0.037680188576833,0.6240722080898372,0.3759277919101628,360.0,3620.0,False,34760.0,0.0,0.9999999999999976,00,operational,1,0
0.9599544409603532,0.0400455590396466,0.6543668547044736,0.3456331452955264,360.0,3620.0,False,34760.0,0.0,0.9999999999999976,10,operational,1,10
0.956627465469245,0.0433725345307549,0.6240722080898372,0.3759277919101628,360.0,5350.0,False,34760.0,0.0,0.9999999999999976,01,operational,1,1
0.8253574203947052,0.1746425796052948,0.6543668547044736,0.3456331452955264,360.0,,True,34760.0,1.0,0.8504660360830044,11,operational,1,11
0.9756959741511824,0.0243040258488177,0.650513538822422,0.349486461177578,360.0,2830.0,False,34760.0,0.0,0.9999999999999976,00,operational,21,0
0.9749292453878086,0.0250707546121914,0.6654256381335728,0.3345743618664271,300.0,2830.0,False,34760.0,0.0,0.9999999999999976,10,operational,21,10
0.9729754781156758,0.0270245218843242,0.650513538822422,0.349486461177578,360.0,3440.0,False,34760.0,0.0,0.9999999999999976,01,operational,21,1
0.970765000956142,0.029234999043858,0.6654256381335728,0.3345743618664271,300.0,3500.0,False,34760.0,0.0,0.9999999999999976,11,operational,21,11
0.9869853911947956,0.0130146088052044,0.395665613538925,0.604334386461075,360.0,1870.0,False,34760.0,0.0,0.9999999999999976,00,operational,41,0
0.9869154143483932,0.0130845856516068,0.39925163097059,0.60074836902941,360.0,1870.0,False,34760.0,0.0,0.9999999999999976,10,operational,41,10
0.9850004249110196,0.0149995750889805,0.395665613538925,0.604334386461075,360.0,2190.0,False,34760.0,0.0,0.9999999999999976,01,operational,41,1
0.9848943065708534,0.0151056934291465,0.39925163097059,0.60074836902941,360.0,2190.0,False,34760.0,0.0,0.9999999999999976,11,operational,41,11
0.9862809835834998,0.0137190164165001,0.3669149355866843,0.6330850644133157,360.0,2260.0,False,34760.0,0.0,0.9999999999999976,00,operational,61,0
0.9842823552414588,0.0157176447585412,0.4259910827956042,0.5740089172043957,360.0,2270.0,False,34760.0,0.0,0.9999999999999976,10,operational,61,10
0.9845407650382024,0.0154592349617974,0.3669149355866843,0.6330850644133157,360.0,2670.0,False,34760.0,0.0,0.9999999999999976,01,operational,61,1
