q_prop,kappa_prop,q_rec,kappa_rec,mean_delta_prop,mean_delta_rec,mean_delta_int,metric,n,mean_int,mean_total,total_ci_low,total_ci_high,total_is_positive,share,share_ci_low,share_ci_high
0.2,0.2,0.2,0.2,0.000986632827345853,0.0006812204165883907,1.3189922519892166e-05,loss,200,1.3189922519892166e-05,0.001681043166454136,0.0014935445515618208,0.0018820539155865424,True,0.007846272352252548,0.005477257236029314,0.010649277976359884
0.2,0.4,0.2,0.4,0.002006081258677655,0.0016739193653843986,6.75169903905139e-05,loss,200,6.75169903905139e-05,0.0037475176144525675,0.0033099552499460906,0.004228394651718035,True,0.018016457115539588,0.013541326593103479,0.02328451972205153
0.2,0.6,0.2,0.6,0.003122366679189771,0.0032900690476154763,0.00025365038823631946,loss,200,0.00025365038823631946,0.006666086115041567,0.005780584870131409,0.007622370498611782,True,0.03805087180976776,0.02731763853523926,0.050322898646344566
0.2,0.8,0.2,0.8,0.004117892871856769,0.0033324971335158887,0.0002835310762925525,loss,200,0.0002835310762925525,0.00773392108166521,0.006878234219800364,0.008653183547217771,True,0.03666071495928747,0.024198813068697735,0.04923766908313487
0.2,1.0,0.2,1.0,0.0050735723189337875,0.00351220245833451,6.741729167125278e-05,loss,200,6.741729167125278e-05,0.00865319206893955,0.0077849493887651115,0.00957013176429022,True,0.007791031463781524,-0.014993549944486758,0.02736754977723566
0.35,0.2,0.35,0.2,0.0018844831020096656,0.0009208979152395835,5.3851482678191764e-05,loss,200,5.3851482678191764e-05,0.002859232499927441,0.0025415770054561483,0.0031876590079027386,True,0.01883424404260876,0.012742740057057705,0.025203077801710598
0.35,0.4,0.35,0.4,0.0036797757401030745,0.0025035455379644076,0.00038198210010521703,loss,200,0.00038198210010521703,0.006565303378172699,0.0057631787315802225,0.007384377553370577,True,0.05818194196100241,0.050482711541459675,0.0660293370923605
0.35,0.6,0.35,0.6,0.005623866554694119,0.005210015717726927,0.0012450906357596337,loss,200,0.0012450906357596337,0.012078972908180679,0.01046145483233118,0.01372109731470786,True,0.10307918108801917,0.09112789143190057,0.1152333999391824
0.35,0.8,0.35,0.8,0.0074467382506594295,0.006345925843511657,0.034603418627697995,loss,200,0.034603418627697995,0.04839608272186908,0.03683270711484831,0.06132920448079438,True,0.7150045351100597,0.6446151901767669,0.7677782268751421
0.35,1.0,0.35,1.0,0.009170889247125459,0.006110352892497617,0.0392423862245502,loss,200,0.0392423862245502,0.05452362836417327,0.04251985388835181,0.06771062645085217,True,0.7197317457019393,0.6555515143207895,0.7681398778463665
0.5,0.2,0.5,0.2,0.00277803620161826,0.0018545368555535236,0.00019675637839100432,loss,200,0.00019675637839100432,0.0048293294355627875,0.0043936115379386315,0.005292573962165115,True,0.04074196656415825,0.0370989595677044,0.0445715724980017
0.5,0.4,0.5,0.4,0.005448273094958649,0.004778268707577848,0.001149609003389211,loss,200,0.001149609003389211,0.011376150805925706,0.010257021187603712,0.012575980671010694,True,0.10105430413162182,0.09257978161917423,0.1094932702156938
0.5,0.6,0.5,0.6,0.008210232923168786,0.00959377107824895,0.003719452718173023,loss,200,0.003719452718173023,0.02152345671959076,0.01931213670763714,0.023946604468741396,True,0.1728092641730526,0.15908689050479577,0.1861735375525488
0.5,0.8,0.5,0.8,0.010641488002410151,0.01112836138896049,0.07163246241395957,loss,200,0.07163246241395957,0.09340231180533021,0.07383397208399964,0.11495197147878265,True,0.7669238697566338,0.7190587590543325,0.8041849782526158
0.5,1.0,0.5,1.0,0.013036043462573704,0.01109637564593982,0.08530181901076389,loss,200,0.08530181901076389,0.1094342381192774,0.08811367697897421,0.13324262088705,True,0.7794801743654443,0.7419485097360362,0.8094126151389546
