q_prop,kappa_prop,q_rec,kappa_rec,mean_delta_prop,mean_delta_rec,mean_delta_int,metric,n,mean_int,mean_total,total_ci_low,total_ci_high,total_is_positive,share,share_ci_low,share_ci_high
0.75,0.2,0.75,0.2,0.00454446298248767,0.002624245894400735,0.00043686002836803824,loss,200,0.00043686002836803824,0.0076055689052564445,0.006930913043827711,0.008289488002927583,True,0.05743949385115829,0.051843313306881085,0.06307269451954747
0.75,0.4,0.75,0.4,0.008612696219995587,0.0070913815106904395,0.0024417333493379056,loss,200,0.0024417333493379056,0.018145811080023933,0.016402057128133887,0.019881044682096477,True,0.1345618191752212,0.1269169261574177,0.14241569387473293
0.75,0.6,0.75,0.6,0.012598310941504074,0.01449764581921153,0.007591669367658582,loss,200,0.007591669367658582,0.03468762612837419,0.031185349668034473,0.038173523663248506,True,0.21885814092791606,0.20629783024849122,0.23173942165825975
0.75,0.8,0.75,0.8,0.01591779148111677,0.019792035304904237,0.2425990149095803,loss,200,0.2425990149095803,0.2783088416956013,0.2467047868596735,0.31081694173735697,True,0.8716899306236257,0.8597536551992822,0.8821442901742839
0.75,1.0,0.75,1.0,0.019270873405970987,0.019954764948857517,0.2789100873027363,loss,200,0.2789100873027363,0.3181357256575648,0.28843491672431804,0.34936463136114804,True,0.8767015610279173,0.8673827445963396,0.8854867120287547
1.0,0.2,1.0,0.2,0.00544886314649688,0.004494077083760073,0.0007861920991192281,loss,200,0.0007861920991192281,0.010729132329376178,0.009804685888476487,0.011691093529774883,True,0.07327639132259071,0.06885209432201402,0.07783279919775418
1.0,0.4,1.0,0.4,0.010167597215412995,0.011830508191654019,0.004412938304710531,loss,200,0.004412938304710531,0.026411043711777545,0.02402247250392468,0.02892619065664577,True,0.16708685778830687,0.15925205136682358,0.17492045021944422
1.0,0.6,1.0,0.6,0.014650541815960212,0.02407805349382757,0.013803541850077141,loss,200,0.013803541850077141,0.052532137159864926,0.047567016277434704,0.05771101010328888,True,0.26276375941208013,0.25084129922300197,0.2752485927643946
1.0,0.8,1.0,0.8,0.01826911547427528,0.02937199272660427,0.2989238895218395,loss,200,0.2989238895218395,0.34656499772271915,0.3166983369836933,0.3771641219488015,True,0.8625334107196928,0.8509829326810832,0.8731781581298086
1.0,1.0,1.0,1.0,0.021907235429999523,0.02904471764453273,0.3457140009780909,loss,200,0.3457140009780909,0.3966659540526231,0.37084517519410004,0.4239716268256533,True,0.8715494673692799,0.862358473324475,0.8807682340668709
