metric,expected_channel,off_diagonal_channel,expected_effect,off_diagonal_effect,dominance_ratio
Lambda,delta_prop,delta_rec,0.036398847251990774,4.739352715832368e-12,7680130480.771377
T_rec,delta_rec,delta_prop,648.0,0.09009009009009009,7192.8
