metric,propagation coupling,restoration coupling,interaction,total (11 - 00)
1 - R  (overall resilience loss),0.007208374523930628,0.021891141927412892,0.04515662606573767,0.07425614251708121
Lambda  (depth of drop),0.036398847251990774,4.739352715832368e-12,-6.605040320240008e-12,0.036398847250125085
T_rec  (recovery delay)  [n differs — not additive],0.09009009009009009,648.0,-7.977161500815661,515.1863857374392
lock-in  (never recovers in horizon),0.0,0.024,0.358,0.382
