metric,mean_interaction,ci_low,ci_high,share_positive,superadditive
loss,0.04515662606573767,0.03885584271806409,0.051798417155789804,0.684,True
Lambda,-6.605040320240008e-12,-1.796269501058711e-11,9.568057880715578e-13,0.021,False
T_rec,-7.977161500815661,-16.821778140293628,0.7834420880913555,0.5122349102773246,False
lock_in,0.358,0.328,0.388,0.362,True
