R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,loss_T1750,loss_T3500,loss_T5250,loss_T7000,loss_T8750,loss_T10500,loss_T12250,loss_T14000
0.9724365999452802,0.0275634000547198,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,13760.0,0.0,0.9999999999999992,00,operational,0,0,0.2205072004375883,0.1102536002188774,0.0735024001459182,0.0551268001094389,0.0441014400875512,0.0367512000729592,0.0315010286339654,0.0275634000547198
0.9703092553192012,0.0296907446807986,0.5186643347402689,0.4813356652597311,360.0,1120.0,False,13760.0,0.0,0.9999999999999992,10,operational,0,10,0.2375259574462106,0.1187629787231933,0.0791753191487958,0.0593814893615968,0.0475051914892774,0.0395876595743982,0.0339322796351985,0.0296907446807986
0.9712063442549425,0.0287936557450575,0.4983869185095407,0.5016130814904592,360.0,1170.0,False,13760.0,0.0,0.9999999999999992,01,operational,0,1,0.2303492459577349,0.1151746229802286,0.076783081986819,0.0575873114901145,0.0460698491920916,0.0383915409934096,0.0329070351372086,0.0287936557450575
0.8832652939390937,0.1167347060609063,0.5186643347402689,0.4813356652597311,360.0,,True,13760.0,1.0,0.9061811327489596,11,operational,0,11,0.2771455777299373,0.1854822224905037,0.1549277707440158,0.1396505448707721,0.1304842093468259,0.1243733189975282,0.1200083973194586,0.1167347060609063
0.9850426456210108,0.0149573543789891,0.3749385554972162,0.6250614445027838,360.0,780.0,False,13760.0,0.0,0.9999999999999992,00,operational,30,0,0.1196588350319097,0.059829417515955,0.0398862783439701,0.0299147087579778,0.0239317670063822,0.0199431391719854,0.0170941192902733,0.0149573543789891
0.9828672771582792,0.0171327228417207,0.4142506135953022,0.5857493864046978,360.0,780.0,False,13760.0,0.0,0.9999999999999992,10,operational,30,10,0.1370617827337628,0.0685308913668816,0.0456872609112546,0.0342654456834411,0.0274123565467527,0.0228436304556276,0.0195802546762522,0.0171327228417207
0.982427136158662,0.0175728638413379,0.3749385554972162,0.6250614445027838,360.0,900.0,False,13760.0,0.0,0.9999999999999992,01,operational,30,1,0.1405829107307,0.0702914553653502,0.0468609702435669,0.0351457276826754,0.0281165821461404,0.0234304851217838,0.020083272961529,0.0175728638413379
0.9805639052497586,0.0194360947502414,0.4142506135953022,0.5857493864046978,360.0,930.0,False,13760.0,0.0,0.9999999999999992,11,operational,30,11,0.1554887580019278,0.077744379000964,0.0518295860006429,0.0388721895004823,0.0310977516003859,0.0259147930003216,0.0222126797145616,0.0194360947502414
0.9688640910133832,0.0311359089866166,0.4914499321654529,0.508550067834547,360.0,1280.0,False,13760.0,0.0,0.9999999999999992,00,operational,60,0,0.2490872713228683,0.1245436359464651,0.083029090630977,0.0622718179732327,0.0498174543785863,0.0415145453154889,0.0355838959847047,0.0311359089866166
0.9657298706385664,0.0342701293614334,0.5103888147842889,0.4896111852157111,360.0,1280.0,False,13760.0,0.0,0.9999999999999992,10,operational,60,10,0.2741610342916131,0.1370805174457324,0.0913870116304886,0.0685402587228665,0.0548322069782931,0.0456935058152445,0.0391658621273526,0.0342701293614334
0.9667815840327684,0.0332184159672315,0.4914499321654529,0.508550067834547,360.0,1380.0,False,13760.0,0.0,0.9999999999999992,01,operational,60,1,0.2657472344634443,0.1328736638689246,0.0885824425792833,0.0664368319344624,0.0531494655475702,0.0442912212896418,0.0379639039625504,0.0332184159672315
0.963220095609688,0.036779904390312,0.5103888147842889,0.4896111852157111,360.0,1390.0,False,13760.0,0.0,0.9999999999999992,11,operational,60,11,0.2942390522991641,0.147119617561247,0.0980797450408316,0.0735598087806237,0.0588478470244989,0.0490398725204161,0.0420341764460709,0.036779904390312
0.978201432466475,0.021798567533525,0.4967600881821702,0.5032399118178298,360.0,960.0,False,13760.0,0.0,0.9999999999999992,00,operational,90,0,0.1743885402681961,0.0871942701340982,0.0581295134227323,0.0435971350670493,0.0348777080536395,0.0290647567113663,0.0249126486097428,0.021798567533525
0.9755443028651328,0.024455697134867,0.5231000388134811,0.4768999611865189,360.0,970.0,False,13760.0,0.0,0.9999999999999992,10,operational,90,10,0.1956455770789333,0.0978227885394669,0.0652151923596449,0.0489113942697336,0.0391291154157869,0.0326075961798227,0.0279493681541338,0.024455697134867
0.9755582955768228,0.0244417044231771,0.4967600881821702,0.5032399118178298,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,01,operational,90,1,0.1955336353853708,0.0977668176927072,0.065177878461805,0.0488834088463538,0.039106727077083,0.0325889392309027,0.0279333764836311,0.0244417044231771
0.8426488916010338,0.1573511083989661,0.5231000388134811,0.4768999611865189,360.0,,True,13760.0,1.0,0.8589868297628986,11,operational,90,11,0.2717166755320169,0.2063649228845593,0.1845810053354067,0.1736890465608306,0.1671538712960847,0.1627970877862542,0.1596850995649468,0.1573511083989661
0.9574973486745298,0.0425026513254701,0.7243442082804799,0.2756557917195201,280.0,1440.0,False,13760.0,0.0,0.9999999999999992,00,operational,120,0,0.3400192798496334,0.1700106053018792,0.1133404035345863,0.0850053026509398,0.0680042421207519,0.0566702017672935,0.0485744586576801,0.0425026513254701
0.9515990440197962,0.0484009559802037,0.815592442522339,0.184407557477661,280.0,1440.0,False,13760.0,0.0,0.9999999999999992,10,operational,120,10,0.3872056882336092,0.1936038239208136,0.1290692159472091,0.0968019119604071,0.0774415295683257,0.0645346079736048,0.05531537826309,0.0484009559802037
